Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per,5J (%),4J (%),3J (%),2J (%),1J (%),NAV per,1J (%),2J (%),3J (%),5J (%),10J (%),Seit Auflage (%),NAV per,Seit 1.1. (%),6M (%),3J (%),5J (%),10J (%),Seit Auflage (%),Ausschüttungs- rendite (%),Restlaufzeit,Kupon,Optionsbereinigte Duration,Effektiv- verzinsung,Umlaufrendite,5J (%),4J (%),3J (%),2J (%),1J (%),Per,Name der Anteilklasse,KGV,KBV,Yield To Maturity,Weighted Avg Maturity Beta,Effektive Duration,Marktkapi- talisierung,MSCI ESG Fonds Rating (AAA-CCC),MSCI ESG Qualitätswert (0-10),MSCI Gewichtete durchschnittliche Kohlenstoffintensität (Tonnen CO2E/Mio. USD VERKÄUFE),Nachhaltige Klassifizierung
-,iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,"35.311.050,13",Ja,Irland,-,"0,13",01.Dec.2005,Anleihen,Staatsanleihen,Europa,GBP,Industrieländer,-,Grossbritannien,Inst,"2.988.735,46",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE Actuaries UK Conventional Gilts All Stocks Index,"11,81",17.Nov.2020,-,-,-,4.00,"11,81",17.Nov.2020,"11,81",17.Nov.2020,"217,72",Y,Index Fonds,30.Sep.2020,"12,52","-3,63","0,56","13,28","3,29",31.Oct.2020,"4,64","7,38","5,27","5,12","5,09","5,11",31.Oct.2020,"6,93","-2,32","16,65","28,34","64,37","165,58","0,64","16,36",-,"12,55",-,-,"0,47","10,01","1,78","0,51","6,79",31.Dec.2019,iShares GiltTrak Index Fund (IE) Inst Dist GBP,"0,00","0,00","0,39","16,36","12,55","0,00",A,"6,00",-,-
-,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,"35.651.134,72",Ja,Irland,-,"0,15",09.Feb.2012,Anleihen,Mehrere Sektoren,Europa,EUR,Industrieländer,-,Weitere,Inst,"3.264.869,70",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,BBG Barc Euro Aggregate Corporate Index,"10,92",17.Nov.2020,-,-,-,3.00,"10,91",17.Nov.2020,"10,96",17.Nov.2020,"1.469,48",Y,Index Fonds,30.Sep.2020,"0,16","0,59","-0,03","6,25","0,27",31.Oct.2020,"1,26","3,71","2,01",-,-,-,31.Oct.2020,"1,55","4,34","6,15",-,-,-,"1,37","5,67",-,"5,31",-,-,"0,00","-0,98","2,40","-1,28","6,38",31.Dec.2019,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,"9,18","0,74","0,41","5,67","5,30","0,00",A,"6,94","137,63",-
-,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,"46.346.766,74",Ja,Irland,-,"0,13",03.Apr.2009,Anleihen,Inflationsgeschützte Anleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"3.413.016,54",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Euro Government Inflation-Linked Bond Index,"13,58",17.Nov.2020,-,-,-,3.00,"13,57",17.Nov.2020,"13,59",17.Nov.2020,"84,70",Y,Index Fonds,30.Sep.2020,"5,72","-1,41","0,86","7,32","-1,38",31.Oct.2020,"0,14","3,75","2,06","1,90","1,88","2,59",31.Oct.2020,"1,10","5,67","6,31","9,89","20,49","34,48","0,94","8,96",-,"8,45",-,-,"0,92","3,69","1,29","-1,52","6,47",31.Dec.2019,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,"0,00","0,00","-0,79","8,96","8,45","0,00",BBB,"5,66",-,-
-,iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,"1.657.335.372,01",Ja,Irland,-,"0,17",03.Dec.2010,Aktien,Alle Kapitalisierungen,Global,EUR,Industrieländer,-,Weitere,Inst,"59.114.709,90",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI World Index Net EUR,"28,04",17.Nov.2020,-,-,-,6.00,"28,03",17.Nov.2020,"28,06",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"10,52","12,48","13,15","8,48","2,51",31.Oct.2020,"-0,17","6,88","5,89","6,96",-,"10,03",31.Oct.2020,"-5,10","5,79","18,74","39,98",-,"157,84","1,74","0,00",-,"0,00",-,-,"10,30","10,74","7,58","-4,13","29,96",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Acc EUR,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,"17.797.640,85",Ja,Irland,-,"0,15",25.Oct.2012,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"1.682.407,10",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE EuroBIG ex Domestic Treasury Index,"10,58",17.Nov.2020,-,-,-,3.00,"10,56",17.Nov.2020,"10,60",17.Nov.2020,"1.735,32",Y,Index Fonds,30.Sep.2020,"5,56","-1,16","0,04","6,52","0,19",31.Oct.2020,"1,44","3,60","2,17","2,16",-,"2,84",31.Oct.2020,"2,12","3,17","6,64","11,29",-,"25,17","1,24","6,50",-,"6,05",-,-,"0,05","3,28","0,97","-0,26","4,99",31.Dec.2019,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,"8,46","0,66","0,08","6,50","6,05","0,00",A,"7,01","101,57",-
-,iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,"20.596.211,96",Ja,Irland,-,"0,28",13.Jan.2011,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Inst,"1.161.134,03",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI EMU Net TR Index,"17,74",17.Nov.2020,-,-,-,6.00,"17,73",17.Nov.2020,"17,77",17.Nov.2020,"99,41",Y,Index Fonds,30.Sep.2020,"3,36","23,15","-0,06","5,18","-7,58",31.Oct.2020,"-13,79","-1,18","-3,66","1,25",-,"4,45",31.Oct.2020,"-16,96","4,14","-10,59","6,42",-,"53,17","2,24","0,00",-,"0,00",-,-,"9,73","5,26","13,11","-11,99","26,04",31.Dec.2019,iShares EMU Index Fund (IE) Inst Acc EUR,"14,08","1,38","-0,01","0,00","0,00","51.445,24",AA,"7,57","168,96",-
-,iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,"11.839.048,13",Ja,Irland,-,"0,27",16.Sep.2011,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Weitere,Inst,"665.861,44",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI EMU Net TR Index,"17,78",17.Nov.2020,-,-,-,6.00,"17,77",17.Nov.2020,"17,81",17.Nov.2020,"99,41",Y,Index Fonds,30.Sep.2020,"3,33","23,12","-0,06","5,14","-7,52",31.Oct.2020,"-13,76","-1,17","-3,66","1,25",-,"7,59",31.Oct.2020,"-16,94","4,13","-10,58","6,39",-,"94,91","2,24","0,00",-,"0,00",-,-,"9,75","5,24","13,09","-12,02","26,07",31.Dec.2019,iShares EMU Index Fund (IE) Inst Dist EUR,"14,08","1,38","-0,01","0,00","0,00","51.445,24",AA,"7,57","168,96",-
-,iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,"1.934.361.095,02",Ja,Irland,-,"0,32",25.Sep.2009,Aktien,Large/Mid Caps,Global,USD,Schwellenländer,-,Weitere,Inst,"113.234.439,06",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Emerging Markets Index (Net),"17,08",17.Nov.2020,-,-,-,6.00,"17,04",17.Nov.2020,"17,12",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"16,62","22,43","-0,96","-2,29","10,29",31.Oct.2020,"7,96","9,75","1,72","7,73","2,28","4,14",31.Oct.2020,"0,62","20,79","5,24","45,14","25,28","56,78","1,64","0,00",-,"0,00",-,-,"-15,31","11,08","37,24","-14,71","18,17",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Acc USD,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
-,iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,"61.528.316,86",Ja,Irland,-,"0,32",31.Aug.2011,Aktien,Large/Mid Caps,Global,USD,Schwellenländer,-,Weitere,Inst,"5.208.568,89",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Emerging Markets Index (Net),"11,81",17.Nov.2020,-,-,-,6.00,"11,78",17.Nov.2020,"11,84",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"16,61","22,47","-0,95","-2,29","10,30",31.Oct.2020,"7,97","9,76","1,72","7,74",-,"3,04",31.Oct.2020,"0,62","20,80","5,25","45,18",-,"31,62","1,64","0,00",-,"0,00",-,-,"-15,30","11,08","37,25","-14,71","18,19",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Dist USD,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
