Name,ISIN,Distribution Type,Ticker,NAV,As Of,Bid,Price As Of,Share Class Currency,AUM (M),UCITS,Domicile,OCF (%),TER,Asset Class,Sub Asset Class,Region,Location,Share Class,Market,Strategy,Investment Style,Inception Date,Fund Name,Net Assets,Shares Outstanding,ISA Eligibility,Product Methodology,Issuing Company,Benchmark Index,Benchmark Level,SIPP Availability,UK Distributor / Reporting Status,Discrete,,,,,,,,,Annualised,,,,,,,,,,Cumulative,,,,,,,,,,Calendar,,,,,,,,,Portfolio Characteristics,,,,,Characteristics,,,,,,Sustainability Characteristics (MSCI),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Name,ISIN,Inception Date,5Y (%),4Y (%),3Y (%),2Y (%),1Y (%),Discrete as Of,Name,ISIN,Inception Date,1Y (%),2Y (%),3Y (%),5Y (%),10Y (%),Incept. (%),Perf. as of,Name,ISIN,Inception Date,YTD (%),6M (%),3Y (%),5Y (%),10Y (%),Incept. (%),Perf. as of,Name,ISIN,Inception Date,5Y (%),4Y (%),3Y (%),2Y (%),1Y (%),As Of,Name,Price to Earning,Price to Book,Effective Duration,Market Capitalisation,Distribution Yield,Weighted Avg Maturity,Weighted Avg Coupon,Effective Duration,Weighted Avg YTM,Flat Yield,MSCI ESG Fund Rating (AAA-CCC),MSCI ESG Quality Score (0-10),MSCI Weighted Average Carbon Intensity (Tons CO2E/$M SALES),Sustainable Classification
iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,Distributing,-,11.89,22/Oct/2020,11.89,22/Oct/2020,GBP,211.60,Y,Ireland,0.13,-,Fixed Income,Government,Europe,United Kingdom,Inst,Developed,-,Index,01/Dec/2005,iShares GiltTrak Index Fund (IE),"35,523,278.79","2,987,851.41",-,-,BlackRock Asset Management Ireland Limited,FTSE Actuaries UK Conventional Gilts All Stocks Index,-,-,-,iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,01/Dec/2005,12.52,-3.63,0.56,13.28,3.29,30/Sep/2020,iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,01/Dec/2005,3.29,8.17,5.57,4.99,5.00,5.17,30/Sep/2020,iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,01/Dec/2005,7.52,1.18,17.66,27.59,62.93,167.04,30/Sep/2020,iShares GiltTrak Index Fund (IE) Inst Dist GBP,IE0030308773,01/Dec/2005,0.47,10.01,1.78,0.51,6.79,31/Dec/2019,iShares GiltTrak Index Fund (IE) Inst Dist GBP,0.00,0.00,12.70,0.00,0.68,16.55,-,12.70,-,-,A,6.00,-,-
iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,Distributing,-,10.83,22/Oct/2020,10.83,22/Oct/2020,EUR,"1,430.25",Y,Ireland,0.15,-,Fixed Income,Multi Sectors,Europe,Broad,Inst,Developed,-,Index,09/Feb/2012,iShares Euro Investment Grade Corporate Bond Index Fund (IE),"35,245,447.31","3,254,296.59",-,-,BlackRock Asset Management Ireland Limited,BBG Barc Euro Aggregate Corporate Index,-,-,-,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,09/Feb/2012,0.16,0.59,-0.03,6.25,0.27,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,09/Feb/2012,0.27,3.22,2.12,-,-,-,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,09/Feb/2012,0.77,7.47,6.51,-,-,-,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,IE00B3XPCW80,09/Feb/2012,0.00,-0.98,2.40,-1.28,6.38,31/Dec/2019,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Dist EUR,9.56,0.76,5.26,0.00,1.40,5.61,-,5.26,-,-,A,6.86,140.51,-
iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,Accumulating,-,13.43,22/Oct/2020,13.41,22/Oct/2020,EUR,87.48,Y,Ireland,0.13,-,Fixed Income,Inflation,Europe,Broad,Inst,Developed,-,Index,03/Apr/2009,iShares Euro Government Inflation-Linked Bond Index Fund (IE),"45,799,312.35","3,410,850.31",-,-,BlackRock Asset Management Ireland Limited,BBG Barc Euro Government Inflation-Linked Bond Index,-,-,-,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,03/Apr/2009,5.72,-1.41,0.86,7.32,-1.38,30/Sep/2020,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,03/Apr/2009,-1.38,2.88,2.20,2.16,1.79,2.52,30/Sep/2020,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,03/Apr/2009,0.06,5.62,6.75,11.27,19.46,33.10,30/Sep/2020,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,IE00B4WXT857,03/Apr/2009,0.92,3.69,1.29,-1.52,6.47,31/Dec/2019,iShares Euro Government Inflation-Linked Bond Index Fund (IE) Inst Acc EUR,0.00,0.00,8.45,0.00,0.94,8.97,-,8.45,-,-,BBB,5.67,-,-
iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,Accumulating,-,26.61,22/Oct/2020,26.60,22/Oct/2020,EUR,"11,879.14",Y,Ireland,0.17,-,Equity,All Cap,Global,Broad,Inst,Developed,-,Index,03/Dec/2010,iShares Developed World Index Fund (IE),"1,552,238,769.73","58,330,014.82",-,-,BlackRock Asset Management Ireland Limited,MSCI World Index Net EUR,-,-,-,iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,03/Dec/2010,10.52,12.48,13.15,8.48,2.51,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,03/Dec/2010,2.51,5.46,7.96,9.36,-,10.40,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,03/Dec/2010,-2.74,20.49,25.83,56.42,-,164.25,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc EUR,IE00B62WCL09,03/Dec/2010,10.30,10.74,7.58,-4.13,29.96,31/Dec/2019,iShares Developed World Index Fund (IE) Inst Acc EUR,19.97,2.52,0.00,"304,828.00",1.74,0.00,-,0.00,-,-,A,6.71,156.13,-
iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,Distributing,-,10.53,22/Oct/2020,10.51,22/Oct/2020,EUR,"1,723.19",Y,Ireland,0.15,-,Fixed Income,Credit,Europe,Broad,Inst,Developed,-,Index,25/Oct/2012,iShares Euro Credit Bond Index Fund (IE),"27,807,328.23","2,641,191.10",-,-,BlackRock Asset Management Ireland Limited,FTSE EuroBIG ex Domestic Treasury Index,-,-,-,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,25/Oct/2012,5.56,-1.16,0.04,6.52,0.19,30/Sep/2020,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,25/Oct/2012,0.19,3.31,2.21,2.18,-,2.79,30/Sep/2020,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,25/Oct/2012,1.48,4.76,6.77,11.40,-,24.39,30/Sep/2020,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,IE00B1N7Z987,25/Oct/2012,0.05,3.28,0.97,-0.26,4.99,31/Dec/2019,iShares Euro Credit Bond Index Fund (IE) Inst Dist EUR,8.75,0.68,5.99,0.00,1.27,6.44,-,5.99,-,-,A,6.93,99.36,-
iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,Accumulating,-,16.29,22/Oct/2020,16.29,22/Oct/2020,EUR,93.32,Y,Ireland,0.30,-,Equity,Large/Mid Cap,Europe,Broad,Inst,Developed,-,Index,13/Jan/2011,iShares EMU Index Fund (IE),"21,029,032.87","1,290,598.58",-,-,BlackRock Asset Management Ireland Limited,MSCI EMU Net TR Index,-,-,-,iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,13/Jan/2011,3.36,23.15,-0.06,5.18,-7.58,30/Sep/2020,iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,13/Jan/2011,-7.58,-1.40,-0.96,4.34,-,5.11,30/Sep/2020,iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,13/Jan/2011,-12.01,17.45,-2.84,23.67,-,62.28,30/Sep/2020,iShares EMU Index Fund (IE) Inst Acc EUR,IE00B3B2KS38,13/Jan/2011,9.73,5.26,13.11,-11.99,26.04,31/Dec/2019,iShares EMU Index Fund (IE) Inst Acc EUR,15.04,1.47,0.00,"55,521.53",2.24,0.00,-,0.00,-,-,AA,7.60,169.59,-
iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,Distributing,-,16.33,22/Oct/2020,16.32,22/Oct/2020,EUR,93.32,Y,Ireland,0.29,-,Equity,Large/Mid Cap,Europe,Broad,Inst,Developed,-,Index,16/Sep/2011,iShares EMU Index Fund (IE),"10,875,010.42","665,861.44",-,-,BlackRock Asset Management Ireland Limited,MSCI EMU Net TR Index,-,-,-,iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,16/Sep/2011,3.33,23.12,-0.06,5.14,-7.52,30/Sep/2020,iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,16/Sep/2011,-7.52,-1.39,-0.95,4.33,-,8.35,30/Sep/2020,iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,16/Sep/2011,-12.00,17.44,-2.83,23.63,-,106.50,30/Sep/2020,iShares EMU Index Fund (IE) Inst Dist EUR,IE00B3B2KT45,16/Sep/2011,9.75,5.24,13.09,-12.02,26.07,31/Dec/2019,iShares EMU Index Fund (IE) Inst Dist EUR,15.04,1.47,0.00,"55,521.53",2.24,0.00,-,0.00,-,-,AA,7.60,169.59,-
iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,Accumulating,-,16.15,22/Oct/2020,16.11,22/Oct/2020,USD,"12,354.97",Y,Ireland,0.32,-,Equity,Large/Mid Cap,Global,Broad,Inst,Emerging,-,Index,25/Sep/2009,iShares Emerging Markets Index Fund (IE),"1,824,664,745.17","112,995,922.36",-,-,BlackRock Asset Management Ireland Limited,MSCI Emerging Markets Index (Net),-,-,-,iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,25/Sep/2009,16.62,22.43,-0.96,-2.29,10.29,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,25/Sep/2009,10.29,3.81,2.19,8.79,2.37,3.98,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,25/Sep/2009,-1.39,29.17,6.73,52.39,26.40,53.66,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc USD,IE00B3D07G23,25/Sep/2009,-15.31,11.08,37.24,-14.71,18.17,31/Dec/2019,iShares Emerging Markets Index Fund (IE) Inst Acc USD,15.51,1.72,0.00,"177,880.67",2.56,0.00,-,0.00,-,-,BBB,4.65,274.95,-
iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,Distributing,-,11.17,22/Oct/2020,11.14,22/Oct/2020,USD,"12,354.97",Y,Ireland,0.32,-,Equity,Large/Mid Cap,Global,Broad,Inst,Emerging,-,Index,31/Aug/2011,iShares Emerging Markets Index Fund (IE),"68,060,884.50","6,095,077.15",-,-,BlackRock Asset Management Ireland Limited,MSCI Emerging Markets Index (Net),-,-,-,iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,31/Aug/2011,16.61,22.47,-0.95,-2.29,10.30,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,31/Aug/2011,10.30,3.81,2.20,8.80,-,2.84,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,31/Aug/2011,-1.38,29.17,6.75,52.45,-,28.99,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Dist USD,IE00B3D07K68,31/Aug/2011,-15.30,11.08,37.25,-14.71,18.19,31/Dec/2019,iShares Emerging Markets Index Fund (IE) Inst Dist USD,15.51,1.72,0.00,"177,880.67",2.56,0.00,-,0.00,-,-,BBB,4.65,274.95,-
