Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"NOVO B","NOVO NORDISK CLASS B","Aktien","4,91","62,60","1.780.055","111.427.961","111.427.960,54","Gesundheitsversorgung","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"ASML","ASML HOLDING NV","Aktien","4,78","344,25","315.115","108.478.339","108.478.338,75","IT","NL0010273215","Euronext Amsterdam","Niederlande","EUR"
"ROG","ROCHE HOLDING PAR AG","Aktien","4,42","298,55","335.823","100.261.858","100.261.857,92","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"SAP","SAP","Aktien","4,32","134,08","731.023","98.015.564","98.015.563,84","IT","DE0007164600","Xetra","Deutschland","EUR"
"SIE","SIEMENS N AG","Aktien","4,16","111,24","847.594","94.286.357","94.286.356,56","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"UNA","UNILEVER NV","Aktien","4,05","52,94","1.736.222","91.915.593","91.915.592,68","Nichtzyklische Konsumgüter","NL0000388619","Euronext Amsterdam","Niederlande","EUR"
"OR","LOREAL SA","Aktien","3,79","287,10","299.146","85.884.817","85.884.816,60","Nichtzyklische Konsumgüter","FR0000120321","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ALV","ALLIANZ","Aktien","3,64","166,52","495.856","82.569.941","82.569.941,12","Financials","DE0008404005","Xetra","Deutschland","EUR"
"SU","SCHNEIDER ELECTRIC","Aktien","3,22","111,10","657.160","73.010.476","73.010.476,00","Industrie","FR0000121972","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ADS","ADIDAS N AG","Aktien","2,86","286,50","226.307","64.836.956","64.836.955,50","Zyklische Konsumgüter ","DE000A1EWWW0","Xetra","Deutschland","EUR"
"LONN","LONZA GROUP AG","Aktien","2,04","521,82","88.513","46.187.865","46.187.865,39","Gesundheitsversorgung","CH0013841017","Six Swiss Exchange Ag","Schweiz","CHF"
"REL","RELX PLC","Aktien","1,90","18,89","2.285.510","43.177.497","43.177.497,23","Industrie","GB00B2B0DG97","London Stock Exchange","Vereinigtes Königreich","GBP"
"GIVN","GIVAUDAN SA","Aktien","1,83","3.793,43","10.953","41.549.614","41.549.614,02","Materialien","CH0010645932","Six Swiss Exchange Ag","Schweiz","CHF"
"BN","DANONE SA","Aktien","1,78","55,00","733.975","40.368.625","40.368.625,00","Nichtzyklische Konsumgüter","FR0000120644","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"CS","AXA SA","Aktien","1,61","15,96","2.286.385","36.481.559","36.481.559,06","Financials","FR0000120628","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Aktien","1,59","217,10","165.889","36.014.502","36.014.501,90","Financials","DE0008430026","Xetra","Deutschland","EUR"
"VWS","VESTAS WIND SYSTEMS","Aktien","1,56","151,81","233.165","35.396.739","35.396.738,51","Industrie","DK0010268606","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"DB1","DEUTSCHE BOERSE AG","Aktien","1,45","146,70","224.624","32.952.341","32.952.340,80","Financials","DE0005810055","Xetra","Deutschland","EUR"
"ISP","INTESA SANPAOLO","Aktien","1,41","1,63","19.574.178","31.968.548","31.968.547,51","Financials","IT0000072618","Borsa Italiana","Italien","EUR"
"ALC","ALCON AG","Aktien","1,37","53,13","585.759","31.122.823","31.122.823,28","Gesundheitsversorgung","CH0432492467","Six Swiss Exchange Ag","Schweiz","CHF"
"ORSTED","ORSTED","Aktien","1,37","137,91","225.561","31.106.017","31.106.017,31","Versorger","DK0060094928","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Aktien","1,36","24,13","1.281.159","30.914.367","30.914.366,67","Zyklische Konsumgüter ","ES0148396007","Bolsa De Madrid","Spanien","EUR"
"CRG","CRH PLC","Aktien","1,36","33,01","935.250","30.872.603","30.872.602,50","Materialien","IE0001827041","Irish Stock Exchange - All Market","Irland","EUR"
"DSM","KONINKILIJKE DSM NV","Aktien","1,33","147,35","205.238","30.241.819","30.241.819,30","Materialien","NL0000009827","Euronext Amsterdam","Niederlande","EUR"
"CPG","COMPASS GROUP PLC","Aktien","1,25","13,43","2.108.619","28.329.163","28.329.163,40","Zyklische Konsumgüter ","GB00BD6K4575","London Stock Exchange","Vereinigtes Königreich","GBP"
"NESTE","NESTE","Aktien","1,07","47,96","504.883","24.214.189","24.214.188,68","Energie","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"WKL","WOLTERS KLUWER NV","Aktien","1,05","73,88","322.708","23.841.667","23.841.667,04","Industrie","NL0000395903","Euronext Amsterdam","Niederlande","EUR"
"FERG","FERGUSON PLC","Aktien","1,05","89,01","266.471","23.719.481","23.719.481,33","Industrie","JE00BJVNSS43","London Stock Exchange","Vereinigtes Königreich","GBP"
"ORA","ORANGE SA","Aktien","1,01","9,72","2.358.397","22.933.052","22.933.052,43","Kommunikation","FR0000133308","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SREN","SWISS RE AG","Aktien","1,01","65,56","348.342","22.838.337","22.838.336,92","Financials","CH0126881561","Six Swiss Exchange Ag","Schweiz","CHF"
"KRZ","KERRY GROUP PLC","Aktien","0,92","111,40","187.774","20.918.024","20.918.023,60","Nichtzyklische Konsumgüter","IE0004906560","Irish Stock Exchange - All Market","Irland","EUR"
"ESSITY B","ESSITY CLASS B","Aktien","0,92","29,11","716.980","20.872.999","20.872.999,36","Nichtzyklische Konsumgüter","SE0009922164","Nasdaq Omx Nordic","Schweden","SEK"
"AKZA","AKZO NOBEL NV","Aktien","0,91","90,74","228.477","20.732.003","20.732.002,98","Materialien","NL0013267909","Euronext Amsterdam","Niederlande","EUR"
"MRK","MERCK","Aktien","0,89","130,55","154.523","20.172.978","20.172.977,65","Gesundheitsversorgung","DE0006599905","Xetra","Deutschland","EUR"
"HEN3","HENKEL & KGAA PREF AG","Aktien","0,85","91,56","210.620","19.284.367","19.284.367,20","Nichtzyklische Konsumgüter","DE0006048432","Xetra","Deutschland","EUR"
"COLO B","COLOPLAST B","Aktien","0,83","133,94","140.467","18.814.423","18.814.423,25","Gesundheitsversorgung","DK0060448595","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"ML","MICHELIN","Aktien","0,83","93,44","200.639","18.747.708","18.747.708,16","Zyklische Konsumgüter ","FR0000121261","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Aktien","0,78","2,26","7.882.442","17.798.554","17.798.554,04","Financials","ES0113211835","Bolsa De Madrid","Spanien","EUR"
"SRT3","SARTORIUS PREF AG","Aktien","0,72","385,80","42.129","16.253.368","16.253.368,20","Gesundheitsversorgung","DE0007165631","Xetra","Deutschland","EUR"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Aktien","0,67","7,91","1.924.045","15.211.120","15.211.119,62","Financials","SE0000148884","Nasdaq Omx Nordic","Schweden","SEK"
"SOON","SONOVA HOLDING AG","Aktien","0,66","228,48","65.177","14.891.815","14.891.815,13","Gesundheitsversorgung","CH0012549785","Six Swiss Exchange Ag","Schweiz","CHF"
"SGRO","SEGRO REIT PLC","Aktien","0,65","10,44","1.416.578","14.786.720","14.786.719,79","Immobilien","GB00B5ZN1N88","London Stock Exchange","Vereinigtes Königreich","GBP"
"SCMN","SWISSCOM AG","Aktien","0,63","466,28","30.609","14.272.474","14.272.473,53","Kommunikation","CH0008742519","Six Swiss Exchange Ag","Schweiz","CHF"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Aktien","0,61","7,38","1.869.952","13.795.977","13.795.977,14","Financials","SE0007100599","Nasdaq Omx Nordic","Schweden","SEK"
"NZYM B","NOVOZYMES B","Aktien","0,60","55,35","246.434","13.640.154","13.640.154,41","Materialien","DK0060336014","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"KBC","KBC GROEP","Aktien","0,57","43,86","295.322","12.952.823","12.952.822,92","Financials","BE0003565737","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"TEL","TELENOR","Aktien","0,55","14,23","869.062","12.365.816","12.365.815,66","Kommunikation","NO0010063308","Oslo Bors Asa","Norwegen","NOK"
"BEI","BEIERSDORF AG","Aktien","0,53","99,18","121.404","12.040.849","12.040.848,72","Nichtzyklische Konsumgüter","DE0005200000","Xetra","Deutschland","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Aktien","0,49","172,39","63.982","11.029.666","11.029.665,55","Industrie","CH0025238863","Six Swiss Exchange Ag","Schweiz","CHF"
"CRDA","CRODA INTERNATIONAL PLC","Aktien","0,48","70,95","152.725","10.835.123","10.835.122,98","Materialien","GB00BJFFLV09","London Stock Exchange","Vereinigtes Königreich","GBP"
"TELIA","TELIA COMPANY","Aktien","0,48","3,72","2.905.427","10.813.253","10.813.252,75","Kommunikation","SE0000667925","Nasdaq Omx Nordic","Schweden","SEK"
"MNDI","MONDI PLC","Aktien","0,48","18,43","585.959","10.797.716","10.797.716,06","Materialien","GB00B1CRLC47","London Stock Exchange","Vereinigtes Königreich","GBP"
"SRG","SNAM","Aktien","0,47","4,41","2.441.546","10.759.893","10.759.893,22","Versorger","IT0003153415","Borsa Italiana","Italien","EUR"
"WPP","WPP PLC","Aktien","0,47","7,28","1.459.858","10.631.430","10.631.430,30","Kommunikation","JE00B8KF9B49","London Stock Exchange","Vereinigtes Königreich","GBP"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Aktien","0,46","6,14","1.696.434","10.419.498","10.419.497,63","Versorger","IT0003242622","Borsa Italiana","Italien","EUR"
"GN","GN STORE NORD","Aktien","0,46","68,81","151.375","10.416.341","10.416.340,66","Gesundheitsversorgung","DK0010272632","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
