Fondsposition per	09.Okt.2020											
 												
Emittententicker	Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Standort	Marktwährung
BABA	ALIBABA GROUP HOLDING ADR REPRESEN	Aktien	"7,76"	"299,74"	205.734	61.666.709	"61.666.709,16"	Zyklische Konsumgüter 	US01609W1027	New York Stock Exchange Inc.	China	USD
700	TENCENT HOLDINGS LTD	Aktien	"5,50"	"69,61"	628.6	43.758.389	"43.758.388,66"	Kommunikation	KYG875721634	Hong Kong Exchanges And Clearing Ltd	China	HKD
2330	TAIWAN SEMICONDUCTOR MANUFACTURING	Aktien	"5,36"	"15,79"	2.698.000	42.601.485	"42.601.484,89"	IT	TW0002330008	Taiwan Stock Exchange	Taiwan	TWD
5930	SAMSUNG ELECTRONICS LTD	Aktien	"3,40"	"51,77"	521.56	26.999.464	"26.999.464,12"	IT	KR7005930003	Korea Exchange (Stock Market)	Korea	KRW
NTES	NETEASE ADR INC	Aktien	"2,55"	"90,60"	224.15	20.307.990	"20.307.990,00"	Kommunikation	US64110W1027	NASDAQ	China	USD
3690	MEITUAN DIANPING	Aktien	"1,73"	"34,84"	394.6	13.747.266	"13.747.266,15"	Zyklische Konsumgüter 	KYG596691041	Hong Kong Exchanges And Clearing Ltd	China	HKD
RELIANCE	RELIANCE INDUSTRIES LTD	Aktien	"1,21"	"30,53"	314.15	9.592.430	"9.592.430,34"	Energie	INE002A01018	National Stock Exchange Of India	Indien	INR
NPN	NASPERS LIMITED N LTD	Aktien	"1,13"	"185,94"	48.219	8.965.821	"8.965.821,42"	Zyklische Konsumgüter 	ZAE000015889	Johannesburg Stock Exchange	Südafrika	ZAR
JD	JD.COM ADR REPRESENTING INC	Aktien	"0,94"	"79,79"	93.212	7.437.385	"7.437.385,48"	Zyklische Konsumgüter 	US47215P1066	NASDAQ	China	USD
939	CHINA CONSTRUCTION BANK CORP H	Aktien	"0,85"	"0,65"	10.483.000	6.790.235	"6.790.234,90"	Financials	CNE1000002H1	Hong Kong Exchanges And Clearing Ltd	China	HKD
2318	PING AN INSURANCE (GROUP) CO OF CH	Aktien	"0,83"	"10,43"	634	6.609.919	"6.609.918,65"	Financials	CNE1000003X6	Hong Kong Exchanges And Clearing Ltd	China	HKD
INFY	INFOSYS LTD	Aktien	"0,71"	"15,13"	374.211	5.662.407	"5.662.406,66"	IT	INE009A01021	National Stock Exchange Of India	Indien	INR
HDFC	HOUSING DEVELOPMENT FINANCE CORPOR	Aktien	"0,61"	"26,76"	181.448	4.856.267	"4.856.267,38"	Financials	INE001A01036	National Stock Exchange Of India	Indien	INR
941	CHINA MOBILE LTD	Aktien	"0,54"	"6,45"	666.5	4.295.672	"4.295.672,29"	Kommunikation	HK0941009539	Hong Kong Exchanges And Clearing Ltd	China	HKD
660	SK HYNIX INC	Aktien	"0,54"	"71,88"	59.716	4.292.613	"4.292.613,40"	IT	KR7000660001	Korea Exchange (Stock Market)	Korea	KRW
5935	SAMSUNG ELECTRONICS NON VOTING PRE	Aktien	"0,52"	"44,83"	91.729	4.112.195	"4.112.195,36"	IT	KR7005931001	Korea Exchange (Stock Market)	Korea	KRW
2454	MEDIATEK INC	Aktien	"0,48"	"23,35"	163	3.806.685	"3.806.685,49"	IT	TW0002454006	Taiwan Stock Exchange	Taiwan	TWD
TCS	TATA CONSULTANCY SERVICES LTD	Aktien	"0,48"	"38,46"	98.571	3.790.762	"3.790.762,11"	IT	INE467B01029	National Stock Exchange Of India	Indien	INR
BIDU	BAIDU ADR REPTG INC CLASS A	Aktien	"0,47"	"126,49"	29.775	3.766.240	"3.766.239,75"	Kommunikation	US0567521085	NASDAQ	China	USD
2317	HON HAI PRECISION INDUSTRY LTD	Aktien	"0,47"	"2,72"	1.362.000	3.703.022	"3.703.022,06"	IT	TW0002317005	Taiwan Stock Exchange	Taiwan	TWD
35420	NAVER CORP	Aktien	"0,45"	"261,00"	13.659	3.565.020	"3.565.019,73"	Kommunikation	KR7035420009	Korea Exchange (Stock Market)	Korea	KRW
ICICIBANK	ICICI BANK LTD	Aktien	"0,44"	"5,49"	632.417	3.471.398	"3.471.398,26"	Financials	INE090A01021	National Stock Exchange Of India	Indien	INR
1398	INDUSTRIAL AND COMMERCIAL BANK OF	Aktien	"0,43"	"0,52"	6.585.000	3.407.184	"3.407.184,47"	Financials	CNE1000003G1	Hong Kong Exchanges And Clearing Ltd	China	HKD
TAL	TAL EDUCATION GROUP ADR REPTG	Aktien	"0,43"	"79,38"	42.569	3.379.127	"3.379.127,22"	Zyklische Konsumgüter 	US8740801043	New York Stock Exchange Inc.	China	USD
1810	XIAOMI CORP	Aktien	"0,40"	"2,70"	1.165.000	3.149.238	"3.149.237,75"	IT	KYG9830T1067	Hong Kong Exchanges And Clearing Ltd	China	HKD
2269	WUXI BIOLOGICS (CAYMAN) INCORPRATE	Aktien	"0,39"	"26,14"	119.5	3.123.941	"3.123.941,14"	Gesundheitsversorgung	KYG970081090	Hong Kong Exchanges And Clearing Ltd	China	HKD
51910	LG CHEM LTD	Aktien	"0,39"	"600,04"	5.148	3.089.023	"3.089.023,20"	Materialien	KR7051910008	Korea Exchange (Stock Market)	Korea	KRW
