Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"SQ","SQUARE INC CLASS A","Aktien","2,51","187,28","144.485","27.059.151","27.059.150,80","IT","US8522341036","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FDX","FEDEX CORP","Aktien","2,43","271,55","96.558","26.220.325","26.220.324,90","Industrie","US31428X1063","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Aktien","2,01","174,69","123.811","21.628.544","21.628.543,59","Industrie","US9113121068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DOCU","DOCUSIGN INC","Aktien","1,75","225,60","83.535","18.845.496","18.845.496,00","IT","US2561631068","NASDAQ","Vereinigte Staaten","USD"
"ADYEN","ADYEN NV","Aktien","1,70","2.012,59","9.117","18.348.875","18.348.874,88","IT","NL0012969182","Euronext Amsterdam","Niederlande","EUR"
"DPW","DEUTSCHE POST AG","Aktien","1,65","48,77","365.342","17.817.823","17.817.822,87","Industrie","DE0005552004","Xetra","Deutschland","EUR"
"4689","Z HOLDINGS CORP","Aktien","1,62","7,26","2.406.722","17.471.542","17.471.542,04","Kommunikation","JP3933800009","Tokyo Stock Exchange","Japan","JPY"
"MELI","MERCADOLIBRE INC","Aktien","1,62","1.199,84","14.556","17.464.871","17.464.871,04","Zyklische Konsumgüter ","US58733R1023","NASDAQ","Vereinigte Staaten","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Aktien","1,62","250,00","69.612","17.403.000","17.403.000,00","Kommunikation","LU1778762911","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"W","WAYFAIR INC CLASS A","Aktien","1,61","296,19","58.685","17.381.910","17.381.910,15","Zyklische Konsumgüter ","US94419L1017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TWTR","TWITTER INC","Aktien","1,61","45,90","376.654","17.288.419","17.288.418,60","Kommunikation","US90184L1026","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"035720","KAKAO CORP","Aktien","1,58","328,64","51.757","17.009.237","17.009.237,37","Kommunikation","KR7035720002","Korea Exchange (Stock Market)","Korea","KRW"
"035420","NAVER CORP","Aktien","1,50","261,00","61.873","16.148.947","16.148.946,89","Kommunikation","KR7035420009","Korea Exchange (Stock Market)","Korea","KRW"
"PYPL","PAYPAL HOLDINGS INC","Aktien","1,49","197,27","81.265","16.031.147","16.031.146,55","IT","US70450Y1038","NASDAQ","Vereinigte Staaten","USD"
"AMZN","AMAZON COM INC","Aktien","1,49","3.286,65","4.872","16.012.559","16.012.558,80","Zyklische Konsumgüter ","US0231351067","NASDAQ","Vereinigte Staaten","USD"
"NFLX","NETFLIX INC","Aktien","1,46","539,44","29.231","15.768.371","15.768.370,64","Kommunikation","US64110L1061","NASDAQ","Vereinigte Staaten","USD"
"EQIX","EQUINIX REIT INC","Aktien","1,45","829,35","18.831","15.617.490","15.617.489,85","Immobilien","US29444U7000","NASDAQ","Vereinigte Staaten","USD"
"ETSY","ETSY INC","Aktien","1,44","146,67","105.728","15.507.126","15.507.125,76","Zyklische Konsumgüter ","US29786A1060","NASDAQ","Vereinigte Staaten","USD"
"MA","MASTERCARD INC CLASS A","Aktien","1,40","352,39","42.707","15.049.520","15.049.519,73","IT","US57636Q1040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FB","FACEBOOK CLASS A INC","Aktien","1,36","264,45","55.425","14.657.141","14.657.141,25","Kommunikation","US30303M1027","NASDAQ","Vereinigte Staaten","USD"
"ZAL","ZALANDO","Aktien","1,36","101,18","144.512","14.621.634","14.621.634,27","Zyklische Konsumgüter ","DE000ZAL1111","Xetra","Deutschland","EUR"
"EBAY","EBAY INC","Aktien","1,34","55,45","259.523","14.390.550","14.390.550,35","Zyklische Konsumgüter ","US2786421030","NASDAQ","Vereinigte Staaten","USD"
