Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"NESN","NESTLE SA","Aktien","8,15","102,13","416.522","42.538.415","42.538.414,91","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"ROG","ROCHE HOLDING PAR AG","Aktien","5,81","298,55","101.573","30.325.194","30.325.194,21","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"NOVN","NOVARTIS AG","Aktien","5,10","74,66","356.699","26.630.274","26.630.274,07","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"SAP","SAP","Aktien","4,06","134,08","158.246","21.217.624","21.217.623,68","IT","DE0007164600","Xetra","Deutschland","EUR"
"ASML","ASML HOLDING NV","Aktien","4,05","344,25","61.483","21.165.523","21.165.522,75","IT","NL0010273215","Euronext Amsterdam","Niederlande","EUR"
"AZN","ASTRAZENECA PLC","Aktien","3,40","93,50","189.822","17.748.877","17.748.876,81","Gesundheitsversorgung","GB0009895292","London Stock Exchange","Vereinigtes Königreich","GBP"
"LIN","LINDE PLC","Aktien","3,09","202,40","79.737","16.138.769","16.138.768,80","Materialien","IE00BZ12WP82","Xetra","Vereinigte Staaten","EUR"
"MC","LVMH","Aktien","3,06","416,75","38.378","15.994.032","15.994.031,50","Zyklische Konsumgüter ","FR0000121014","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"NOVO B","NOVO NORDISK CLASS B","Aktien","2,92","62,60","243.664","15.252.890","15.252.889,70","Gesundheitsversorgung","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"SAN","SANOFI SA","Aktien","2,76","87,52","164.919","14.433.711","14.433.710,88","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SIE","SIEMENS N AG","Aktien","2,30","111,24","108.089","12.023.820","12.023.820,36","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"GSK","GLAXOSMITHKLINE PLC","Aktien","2,21","15,92","724.600","11.532.917","11.532.917,46","Gesundheitsversorgung","GB0009252882","London Stock Exchange","Vereinigtes Königreich","GBP"
"FP","TOTAL","Aktien","2,15","29,21","383.573","11.204.167","11.204.167,33","Energie","FR0000120271","Nyse Euronext - Euronext Paris","Frankreich","EUR"
