Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"NESN","NESTLE SA","Aktien","4,05","102,13","1.003.887","102.524.625","102.524.624,69","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"ROG","ROCHE HOLDING PAR AG","Aktien","2,79","298,55","236.984","70.752.915","70.752.914,89","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"NOVN","NOVARTIS AG","Aktien","2,21","74,66","748.742","55.899.245","55.899.244,66","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"ASML","ASML HOLDING NV","Aktien","1,95","344,25","143.731","49.479.397","49.479.396,75","IT","NL0010273215","Euronext Amsterdam","Niederlande","EUR"
"SAP","SAP","Aktien","1,86","134,08","351.210","47.090.237","47.090.236,80","IT","DE0007164600","Xetra","Deutschland","EUR"
"AZN","ASTRAZENECA PLC","Aktien","1,64","93,50","443.378","41.457.057","41.457.057,16","Gesundheitsversorgung","GB0009895292","London Stock Exchange","Vereinigtes Königreich","GBP"
"MC","LVMH","Aktien","1,54","416,75","93.479","38.957.373","38.957.373,25","Zyklische Konsumgüter ","FR0000121014","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"NOVO B","NOVO NORDISK CLASS B","Aktien","1,44","62,60","581.057","36.373.031","36.373.031,43","Gesundheitsversorgung","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"SAN","SANOFI SA","Aktien","1,32","87,52","381.803","33.415.399","33.415.398,56","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SIE","SIEMENS N AG","Aktien","1,13","111,24","257.317","28.623.943","28.623.943,08","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"GSK","GLAXOSMITHKLINE PLC","Aktien","1,06","15,92","1.689.580","26.891.784","26.891.784,01","Gesundheitsversorgung","GB0009252882","London Stock Exchange","Vereinigtes Königreich","GBP"
"UNA","UNILEVER NV","Aktien","1,03","52,94","491.393","26.014.345","26.014.345,42","Nichtzyklische Konsumgüter","NL0000388619","Euronext Amsterdam","Niederlande","EUR"
"OR","LOREAL SA","Aktien","0,96","287,10","84.746","24.330.577","24.330.576,60","Nichtzyklische Konsumgüter","FR0000120321","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"FP","TOTAL","Aktien","0,96","29,21","831.488","24.287.764","24.287.764,48","Energie","FR0000120271","Nyse Euronext - Euronext Paris","Frankreich","EUR"
