Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"AAPL","APPLE INC","Aktien","4,47","121,10","9.909.166","1.200.000.003","1.200.000.002,60","IT","US0378331005","NASDAQ","Vereinigte Staaten","USD"
"MSFT","MICROSOFT CORP","Aktien","3,42","222,86","4.114.106","916.869.663","916.869.663,16","IT","US5949181045","NASDAQ","Vereinigte Staaten","USD"
"AMZN","AMAZON COM INC","Aktien","3,11","3.443,63","242.296","834.377.774","834.377.774,48","Zyklische Konsumgüter ","US0231351067","NASDAQ","Vereinigte Staaten","USD"
"FB","FACEBOOK CLASS A INC","Aktien","1,42","276,14","1.376.368","380.070.260","380.070.259,52","Kommunikation","US30303M1027","NASDAQ","Vereinigte Staaten","USD"
"GOOG","ALPHABET INC CLASS C","Aktien","1,01","1.571,68","172.902","271.746.615","271.746.615,36","Kommunikation","US02079K1079","NASDAQ","Vereinigte Staaten","USD"
"GOOGL","ALPHABET INC CLASS A","Aktien","1,00","1.567,07","170.648","267.417.361","267.417.361,36","Kommunikation","US02079K3059","NASDAQ","Vereinigte Staaten","USD"
"JNJ","JOHNSON & JOHNSON","Aktien","0,83","148,36","1.498.737","222.352.621","222.352.621,32","Gesundheitsversorgung","US4781601046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PG","PROCTER & GAMBLE","Aktien","0,76","144,21","1.415.290","204.098.971","204.098.970,90","Nichtzyklische Konsumgüter","US7427181091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NESN","NESTLE SA","Aktien","0,76","119,94","1.701.116","204.029.671","204.029.671,26","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"NVDA","NVIDIA CORP","Aktien","0,75","569,93","351.471","200.313.867","200.313.867,03","IT","US67066G1040","NASDAQ","Vereinigte Staaten","USD"
"V","VISA INC CLASS A","Aktien","0,73","204,32","964.204","197.006.161","197.006.161,28","IT","US92826C8394","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TSLA","TESLA INC","Aktien","0,71","446,65","423.861","189.317.516","189.317.515,65","Zyklische Konsumgüter ","US88160R1014","NASDAQ","Vereinigte Staaten","USD"
"UNH","UNITEDHEALTH GROUP INC","Aktien","0,66","331,42","537.755","178.222.762","178.222.762,10","Gesundheitsversorgung","US91324P1021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HD","HOME DEPOT INC","Aktien","0,66","290,36","612.356","177.803.688","177.803.688,16","Zyklische Konsumgüter ","US4370761029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MA","MASTERCARD INC CLASS A","Aktien","0,66","345,84","510.387","176.512.240","176.512.240,08","IT","US57636Q1040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"JPM","JPMORGAN CHASE & CO","Aktien","0,66","100,78","1.750.341","176.399.366","176.399.365,98","Financials","US46625H1005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Aktien","0,63","212,31","794.792","168.742.290","168.742.289,52","Financials","US0846707026","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ADBE","ADOBE INC","Aktien","0,53","514,31","275.266","141.572.056","141.572.056,46","IT","US00724F1012","NASDAQ","Vereinigte Staaten","USD"
"ROG","ROCHE HOLDING PAR AG","Aktien","0,52","350,62","401.610","140.814.012","140.814.011,82","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"VZ","VERIZON COMMUNICATIONS INC","Aktien","0,52","59,36","2.352.870","139.666.363","139.666.363,20","Kommunikation","US92343V1044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NFLX","NETFLIX INC","Aktien","0,51","554,09","249.446","138.215.534","138.215.534,14","Kommunikation","US64110L1061","NASDAQ","Vereinigte Staaten","USD"
"CRM","SALESFORCE.COM INC","Aktien","0,51","266,83","515.716","137.608.500","137.608.500,28","IT","US79466L3024","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DIS","WALT DISNEY","Aktien","0,50","128,96","1.037.185","133.755.378","133.755.377,60","Kommunikation","US2546871060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"INTC","INTEL CORPORATION CORP","Aktien","0,49","53,83","2.434.099","131.027.549","131.027.549,17","IT","US4581401001","NASDAQ","Vereinigte Staaten","USD"
"PYPL","PAYPAL HOLDINGS INC","Aktien","0,49","207,74","629.960","130.867.890","130.867.890,40","IT","US70450Y1038","NASDAQ","Vereinigte Staaten","USD"
"CMCSA","COMCAST CORP CLASS A","Aktien","0,44","45,89","2.599.759","119.302.941","119.302.940,51","Kommunikation","US20030N1019","NASDAQ","Vereinigte Staaten","USD"
"WMT","WALMART INC","Aktien","0,44","146,23","806.110","117.877.465","117.877.465,30","Nichtzyklische Konsumgüter","US9311421039","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KO","COCA-COLA","Aktien","0,44","50,22","2.331.093","117.067.490","117.067.490,46","Nichtzyklische Konsumgüter","US1912161007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFE","PFIZER INC","Aktien","0,44","36,90","3.170.345","116.985.731","116.985.730,50","Gesundheitsversorgung","US7170811035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MRK","MERCK & CO INC","Aktien","0,44","80,71","1.447.577","116.833.940","116.833.939,67","Gesundheitsversorgung","US58933Y1055","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PEP","PEPSICO INC","Aktien","0,42","143,54","793.104","113.842.148","113.842.148,16","Nichtzyklische Konsumgüter","US7134481081","NASDAQ","Vereinigte Staaten","USD"
"T","AT&T INC","Aktien","0,42","27,75","4.077.050","113.138.138","113.138.137,50","Kommunikation","US00206R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NOVN","NOVARTIS AG","Aktien","0,42","87,68","1.273.950","111.697.170","111.697.170,06","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"BAC","BANK OF AMERICA CORP","Aktien","0,42","24,95","4.467.304","111.459.235","111.459.234,80","Financials","US0605051046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
