Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"ROG","ROCHE HOLDING PAR AG","Aktien","4,71","298,55","21.517","6.424.022","6.424.022,17","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"NOVO B","NOVO NORDISK CLASS B","Aktien","3,73","62,60","81.392","5.094.980","5.094.979,97","Gesundheitsversorgung","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"RIO","RIO TINTO PLC","Aktien","3,17","52,13","82.897","4.321.493","4.321.492,96","Materialien","GB0007188757","London Stock Exchange","Vereinigtes Königreich","GBP"
"RWE","RWE AG","Aktien","2,87","33,95","115.181","3.910.395","3.910.394,95","Versorger","DE0007037129","Xetra","Deutschland","EUR"
"BHP","BHP GROUP PLC","Aktien","2,82","18,24","210.819","3.846.388","3.846.387,63","Materialien","GB00BH0P3Z91","London Stock Exchange","Vereinigtes Königreich","GBP"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Aktien","2,81","24,79","154.421","3.828.097","3.828.096,59","Nichtzyklische Konsumgüter","NL0011794037","Euronext Amsterdam","Niederlande","EUR"
"PHIA","KONINKLIJKE PHILIPS NV","Aktien","2,66","41,27","87.947","3.630.012","3.630.012,42","Gesundheitsversorgung","NL0000009538","Euronext Amsterdam","Niederlande","EUR"
"WKL","WOLTERS KLUWER NV","Aktien","2,64","73,88","48.838","3.608.151","3.608.151,44","Industrie","NL0000395903","Euronext Amsterdam","Niederlande","EUR"
"STM","STMICROELECTRONICS NV","Aktien","2,62","29,90","119.322","3.567.728","3.567.727,80","IT","NL0000226223","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"FERG","FERGUSON PLC","Aktien","2,59","89,01","39.754","3.538.637","3.538.637,45","Industrie","JE00BJVNSS43","London Stock Exchange","Vereinigtes Königreich","GBP"
"EXPN","EXPERIAN PLC","Aktien","2,23","33,87","89.825","3.042.311","3.042.310,80","Industrie","GB00B19NLV48","London Stock Exchange","Vereinigtes Königreich","GBP"
"SN.","SMITH AND NEPHEW PLC","Aktien","1,89","16,88","152.675","2.577.902","2.577.901,51","Gesundheitsversorgung","GB0009223206","London Stock Exchange","Vereinigtes Königreich","GBP"
"UCB","UCB SA","Aktien","1,87","95,84","26.570","2.546.469","2.546.468,80","Gesundheitsversorgung","BE0003739530","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"III","3I GROUP PLC","Aktien","1,77","11,83","203.891","2.412.355","2.412.354,84","Financials","GB00B1YW4409","London Stock Exchange","Vereinigtes Königreich","GBP"
"LOGN","LOGITECH INTERNATIONAL SA","Aktien","1,74","68,92","34.496","2.377.379","2.377.379,13","IT","CH0025751329","SIX Swiss Exchange","Schweiz","CHF"
"AAL","ANGLO AMERICAN PLC","Aktien","1,71","21,46","108.780","2.334.956","2.334.955,96","Materialien","GB00B1XZS820","London Stock Exchange","Vereinigtes Königreich","GBP"
"SOON","SONOVA HOLDING AG","Aktien","1,63","228,48","9.725","2.221.994","2.221.993,99","Gesundheitsversorgung","CH0012549785","Six Swiss Exchange Ag","Schweiz","CHF"
"NESN","NESTLE SA","Aktien","1,61","102,13","21.506","2.196.357","2.196.357,34","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"SGSN","SGS SA","Aktien","1,56","2.294,14","925","2.122.084","2.122.084,07","Industrie","CH0002497458","Six Swiss Exchange Ag","Schweiz","CHF"
"SCMN","SWISSCOM AG","Aktien","1,54","466,28","4.513","2.104.338","2.104.337,71","Kommunikation","CH0008742519","Six Swiss Exchange Ag","Schweiz","CHF"
"SGRO","SEGRO REIT PLC","Aktien","1,45","10,44","189.171","1.974.631","1.974.630,81","Immobilien","GB00B5ZN1N88","London Stock Exchange","Vereinigtes Königreich","GBP"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Aktien","1,43","10,46","186.887","1.954.090","1.954.090,47","Zyklische Konsumgüter ","NL0010877643","Borsa Italiana","Italien","EUR"
"EVO","EVOLUTION GAMING GROUP","Aktien","1,40","71,57","26.704","1.911.258","1.911.258,20","Zyklische Konsumgüter ","SE0012673267","Nasdaq Omx Nordic","Schweden","SEK"
"HLMA","HALMA PLC","Aktien","1,33","27,38","66.417","1.818.399","1.818.399,28","IT","GB0004052071","London Stock Exchange","Vereinigtes Königreich","GBP"
"SGE","SAGE GROUP PLC","Aktien","1,33","7,90","228.919","1.809.363","1.809.363,14","IT","GB00B8C3BL03","London Stock Exchange","Vereinigtes Königreich","GBP"
"NN","NN GROUP NV","Aktien","1,30","33,15","53.391","1.769.912","1.769.911,65","Financials","NL0010773842","Euronext Amsterdam","Niederlande","EUR"
"CA","CARREFOUR SA","Aktien","1,29","13,82","126.926","1.754.117","1.754.117,32","Nichtzyklische Konsumgüter","FR0000120172","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"HEI","HEIDELBERGCEMENT AG","Aktien","1,27","55,34","31.213","1.727.327","1.727.327,42","Materialien","DE0006047004","Xetra","Deutschland","EUR"
"PNDORA","PANDORA","Aktien","1,20","77,89","21.007","1.636.303","1.636.302,87","Zyklische Konsumgüter ","DK0060252690","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Aktien","1,19","172,39","9.414","1.622.851","1.622.851,29","Industrie","CH0025238863","Six Swiss Exchange Ag","Schweiz","CHF"
"UG","PEUGEOT SA","Aktien","1,16","15,42","102.563","1.581.521","1.581.521,46","Zyklische Konsumgüter ","FR0000121501","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SCA B","SVENSKA CELLULOSA B","Aktien","1,12","11,97","127.481","1.525.815","1.525.815,39","Materialien","SE0000112724","Nasdaq Omx Nordic","Schweden","SEK"
"KGF","KINGFISHER PLC","Aktien","1,10","3,40","441.907","1.503.550","1.503.549,51","Zyklische Konsumgüter ","GB0033195214","London Stock Exchange","Vereinigtes Königreich","GBP"
"KINV B","KINNEVIK CLASS B","Aktien","1,07","34,51","42.315","1.460.261","1.460.261,09","Financials","SE0014684528","Nasdaq Omx Nordic","Schweden","SEK"
"ING","INGENICO GROUP SA","Aktien","1,07","137,50","10.607","1.458.463","1.458.462,50","IT","FR0000125346","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ATO","ATOS","Aktien","1,07","70,46","20.648","1.454.858","1.454.858,08","IT","FR0000051732","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"HNR1","HANNOVER RUECK","Aktien","1,01","131,00","10.546","1.381.526","1.381.526,00","Financials","DE0008402215","Xetra","Deutschland","EUR"
"ALO","ALSTOM SA","Aktien","1,01","41,27","33.323","1.375.240","1.375.240,21","Industrie","FR0010220475","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Aktien","0,98","49,81","26.792","1.334.510","1.334.509,52","Zyklische Konsumgüter ","DE000PAH0038","Xetra","Deutschland","EUR"
"ADEN","ADECCO GROUP AG","Aktien","0,95","47,93","27.177","1.302.673","1.302.672,60","Industrie","CH0012138605","Six Swiss Exchange Ag","Schweiz","CHF"
"BNR","BRENNTAG AG","Aktien","0,95","55,36","23.330","1.291.549","1.291.548,80","Industrie","DE000A1DAHH0","Xetra","Deutschland","EUR"
"ELISA","ELISA","Aktien","0,93","51,04","24.920","1.271.917","1.271.916,80","Kommunikation","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"BRBY","BURBERRY GROUP PLC","Aktien","0,92","17,44","72.047","1.256.339","1.256.339,32","Zyklische Konsumgüter ","GB0031743007","London Stock Exchange","Vereinigtes Königreich","GBP"
"BIM","BIOMERIEUX SA","Aktien","0,91","142,50","8.696","1.239.180","1.239.180,00","Gesundheitsversorgung","FR0013280286","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"REE","RED ELECTRICA SA","Aktien","0,88","15,93","75.686","1.205.678","1.205.677,98","Versorger","ES0173093024","Bolsa De Madrid","Spanien","EUR"
"EN","BOUYGUES SA","Aktien","0,88","30,67","39.141","1.200.454","1.200.454,47","Industrie","FR0000120503","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BOL","BOLIDEN","Aktien","0,86","24,68","47.650","1.176.129","1.176.128,84","Materialien","SE0012455673","Nasdaq Omx Nordic","Schweden","SEK"
"UN01","UNIPER","Aktien","0,86","27,72","42.190","1.169.507","1.169.506,80","Versorger","DE000UNSE018","Xetra","Deutschland","EUR"
"ORK","ORKLA","Aktien","0,83","8,69","130.214","1.131.541","1.131.540,86","Nichtzyklische Konsumgüter","NO0003733800","Oslo Bors Asa","Norwegen","NOK"
"GFC","GECINA SA","Aktien","0,81","114,70","9.619","1.103.299","1.103.299,30","Immobilien","FR0010040865","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"AGS","AGEAS SA","Aktien","0,80","35,44","30.911","1.095.486","1.095.485,84","Financials","BE0974264930","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"BDEV","BARRATT DEVELOPMENTS PLC","Aktien","0,78","6,01","177.719","1.068.642","1.068.642,45","Zyklische Konsumgüter ","GB0000811801","London Stock Exchange","Vereinigtes Königreich","GBP"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Aktien","0,73","47,79","20.706","989.556","989.555,89","Zyklische Konsumgüter ","GB00B02L3W35","London Stock Exchange","Vereinigtes Königreich","GBP"
"MRW","MORRISON(WM.)SUPERMARKETS PLC","Aktien","0,71","1,93","504.471","973.957","973.957,04","Nichtzyklische Konsumgüter","GB0006043169","London Stock Exchange","Vereinigtes Königreich","GBP"
"RAND","RANDSTAD HOLDING","Aktien","0,70","46,20","20.763","959.251","959.250,60","Industrie","NL0000379121","Euronext Amsterdam","Niederlande","EUR"
"ICA","ICA GRUPPEN","Aktien","0,70","45,48","21.069","958.160","958.159,63","Nichtzyklische Konsumgüter","SE0000652216","Nasdaq Omx Nordic","Schweden","SEK"
"CARL B","CARLSBERG AS CL B","Aktien","0,70","120,40","7.933","955.133","955.132,97","Nichtzyklische Konsumgüter","DK0010181759","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"HIK","HIKMA PHARMACEUTICALS PLC","Aktien","0,66","29,63","30.443","902.156","902.155,91","Gesundheitsversorgung","GB00B0LCW083","London Stock Exchange","Vereinigtes Königreich","GBP"
"ORNBV","ORION CLASS B","Aktien","0,66","40,53","22.054","893.849","893.848,62","Gesundheitsversorgung","FI0009014377","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"DLG","DIRECT LINE INSURANCE PLC","Aktien","0,65","3,07","287.972","884.271","884.271,24","Financials","GB00BY9D0Y18","London Stock Exchange","Vereinigtes Königreich","GBP"
"MAERSK A","A P MOLLER MAERSK","Aktien","0,64","1.328,67","655","870.280","870.280,07","Industrie","DK0010244425","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"PSON","PEARSON PLC","Aktien","0,63","6,30","136.523","860.177","860.176,60","Kommunikation","GB0006776081","London Stock Exchange","Vereinigtes Königreich","GBP"
"SBRY","SAINSBURY(J) PLC","Aktien","0,61","2,24","370.777","830.228","830.227,61","Nichtzyklische Konsumgüter","GB00B019KW72","London Stock Exchange","Vereinigtes Königreich","GBP"
"AFX","CARL ZEISS MEDITEC AG","Aktien","0,60","119,00","6.887","819.553","819.553,00","Gesundheitsversorgung","DE0005313704","Xetra","Deutschland","EUR"
"HL.","HARGREAVES LANSDOWN PLC","Aktien","0,60","16,34","50.016","817.139","817.138,74","Financials","GB00B1VZ0M25","London Stock Exchange","Vereinigtes Königreich","GBP"
"NEM","NEMETSCHEK","Aktien","0,58","65,00","12.095","786.175","786.175,00","IT","DE0006452907","Xetra","Deutschland","EUR"
"SOF","SOFINA SA","Aktien","0,56","237,50","3.240","769.500","769.500,00","Financials","BE0003717312","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"TW.","TAYLOR WIMPEY PLC","Aktien","0,55","1,30","573.105","744.298","744.297,52","Zyklische Konsumgüter ","GB0008782301","London Stock Exchange","Vereinigtes Königreich","GBP"
"ENG","ENAGAS SA","Aktien","0,53","19,58","36.655","717.705","717.704,90","Versorger","ES0130960018","Bolsa De Madrid","Spanien","EUR"
"VPK","KONINKLIJKE VOPAK NV","Aktien","0,52","48,23","14.719","709.897","709.897,37","Energie","NL0009432491","Euronext Amsterdam","Niederlande","EUR"
"LUND B","LUNDBERGFORETAGEN CLASS B","Aktien","0,50","42,73","15.914","680.012","680.011,70","Financials","SE0000108847","Nasdaq Omx Nordic","Schweden","SEK"
"SCR","SCOR","Aktien","0,49","24,36","27.426","668.097","668.097,36","Financials","FR0010411983","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"FPE3","FUCHS PETROLUB PREF","Aktien","0,48","44,76","14.603","653.630","653.630,28","Materialien","DE0005790430","Xetra","Deutschland","EUR"
"IPN","IPSEN SA","Aktien","0,47","80,80","7.911","639.209","639.208,80","Gesundheitsversorgung","FR0010259150","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"COLR","ETABLISSEMENTEN FRANZ COLRUYT NV","Aktien","0,46","53,74","11.611","623.975","623.975,14","Nichtzyklische Konsumgüter","BE0974256852","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"AER","AERCAP HOLDINGS NV","Aktien","0,46","22,56","27.576","622.010","622.009,74","Industrie","NL0000687663","New York Stock Exchange Inc.","Niederlande","USD"
"FDJ","LA FRANCAISE DES JEUX SA","Aktien","0,43","32,75","18.063","591.563","591.563,25","Zyklische Konsumgüter ","FR0013451333","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"PROX","PROXIMUS NV","Aktien","0,40","17,18","32.009","550.075","550.074,66","Kommunikation","BE0003810273","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"ILD","ILIAD SA","Aktien","0,40","173,90","3.115","541.699","541.698,50","Kommunikation","FR0004035913","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Aktien","0,39","77,80","6.885","535.653","535.653,00","Financials","BE0003797140","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"LDO","LEONARDO FINMECCANICA SPA","Aktien","0,33","4,84","92.981","450.493","450.492,94","Industrie","IT0003856405","Borsa Italiana","Italien","EUR"
"TITR","TELECOM ITALIA SAVING","Aktien","0,33","0,35","1.255.993","445.375","445.375,12","Kommunikation","IT0003497176","Borsa Italiana","Italien","EUR"
"AGN","AEGON NV","Aktien","0,31","2,48","169.177","419.390","419.389,78","Financials","NL0000303709","Euronext Amsterdam","Niederlande","EUR"
"EUR","EUR CASH","Geldmarkt","0,28","100,00","388.517","388.517","388.516,97","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"MAP","MAPFRE SA","Aktien","0,19","1,35","189.690","255.133","255.133,05","Financials","ES0124244E34","Bolsa De Madrid","Spanien","EUR"
"LI","KLEPIERRE REIT SA","Aktien","0,18","12,08","20.837","251.711","251.710,96","Immobilien","FR0000121964","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"GBP","GBP CASH","Geldmarkt","0,08","110,58","102.105","112.903","112.903,05","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"DKK","DKK CASH","Geldmarkt","0,07","13,43","700.996","94.175","94.175,23","Cash und/oder Derivate","-","-","Dänemark","DKK"
"CITFT","CASH COLLATERAL EUR CITFT","Cash Collateral and Margins","0,06","100,00","87.000","87.000","87.000,00","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"NOK","NOK CASH","Geldmarkt","0,03","9,24","443.988","41.036","41.035,87","Cash und/oder Derivate","-","-","Norwegen","NOK"
"SEK","SEK CASH","Geldmarkt","0,02","9,67","270.830","26.194","26.194,38","Cash und/oder Derivate","-","-","Schweden","SEK"
