Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"RUN","SUNRUN INC","Aktien","7,75","71,43","2.771.666","197.980.102","197.980.102,38","Industrie","US86771W1053","NASDAQ","Vereinigte Staaten","USD"
"PLUG","PLUG POWER INC","Aktien","7,59","18,43","10.516.695","193.822.689","193.822.688,85","Industrie","US72919P2020","NASDAQ","Vereinigte Staaten","USD"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Aktien","7,36","305,35","615.710","188.007.049","188.007.048,50","IT","US83417M1045","NASDAQ","Vereinigte Staaten","USD"
"ENPH","ENPHASE ENERGY INC","Aktien","6,67","109,18","1.560.794","170.407.489","170.407.488,92","IT","US29355A1079","NASDAQ","Vereinigte Staaten","USD"
"968","XINYI SOLAR HOLDINGS LTD","Aktien","6,30","1,76","91.237.200","160.811.885","160.811.885,34","IT","KYG9829N1025","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"FSLR","FIRST SOLAR INC","Aktien","4,52","78,81","1.464.557","115.421.737","115.421.737,17","IT","US3364331070","NASDAQ","Vereinigte Staaten","USD"
"VWS","VESTAS WIND SYSTEMS","Aktien","4,28","173,04","631.941","109.348.842","109.348.841,53","Industrie","DK0010268606","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Aktien","4,24","29,51","3.669.570","108.298.629","108.298.628,64","Industrie","ES0143416115","Bolsa De Madrid","Spanien","EUR"
"BLX","BORALEX INC CLASS A","Aktien","3,33","32,15","2.641.250","84.921.381","84.921.380,71","Versorger","CA09950M3003","Toronto Stock Exchange","Kanada","CAD"
"CEN","CONTACT ENERGY LTD","Aktien","3,32","5,23","16.213.111","84.751.038","84.751.038,33","Versorger","NZCENE0001S6","New Zealand Exchange Ltd","Neuseeland","NZD"
"SSO","SCATEC SOLAR","Aktien","3,28","25,40","3.297.681","83.769.608","83.769.607,61","Versorger","NO0010715139","Oslo Bors Asa","Norwegen","NOK"
"INE","INNERGEX RENEWABLE ENERGY INC","Aktien","3,13","19,79","4.043.216","80.005.469","80.005.469,44","Versorger","CA45790B1040","Toronto Stock Exchange","Kanada","CAD"
"VER","VERBUND AG","Aktien","3,10","61,44","1.286.971","79.065.578","79.065.578,17","Versorger","AT0000746409","Wiener Boerse Ag","Österreich","EUR"
"MEL","MERIDIAN ENERGY LTD","Aktien","2,96","3,60","21.058.569","75.723.666","75.723.665,92","Versorger","NZMELE0002S7","New Zealand Exchange Ltd","Neuseeland","NZD"
"REGI","RENEWABLE ENERGY INC","Aktien","2,90","63,27","1.172.213","74.165.917","74.165.916,51","Energie","US75972A3014","NASDAQ","Vereinigte Staaten","USD"
"JKS","JINKOSOLAR HOLDING ADR REP LTD","Aktien","2,81","62,84","1.141.893","71.756.556","71.756.556,12","IT","US47759T1007","New York Stock Exchange Inc.","China","USD"
"CIG","COMPANHIA ENERGETICA MINAS GERAIS","Aktien","2,74","2,01","34.753.448","69.854.430","69.854.430,48","Versorger","US2044096012","New York Stock Exchange Inc.","Brasilien","USD"
