Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"AAPL","APPLE INC","Aktien","4,47","121,10","1.838.258","222.613.044","222.613.043,80","IT","US0378331005","NASDAQ","Vereinigte Staaten","USD"
"MSFT","MICROSOFT CORP","Aktien","3,42","222,86","765.075","170.504.615","170.504.614,50","IT","US5949181045","NASDAQ","Vereinigte Staaten","USD"
"AMZN","AMAZON COM INC","Aktien","3,11","3.443,63","44.935","154.739.514","154.739.514,05","Zyklische Konsumgüter ","US0231351067","NASDAQ","Vereinigte Staaten","USD"
"FB","FACEBOOK CLASS A INC","Aktien","1,42","276,14","255.814","70.640.478","70.640.477,96","Kommunikation","US30303M1027","NASDAQ","Vereinigte Staaten","USD"
"GOOG","ALPHABET INC CLASS C","Aktien","1,02","1.571,68","32.168","50.557.802","50.557.802,24","Kommunikation","US02079K1079","NASDAQ","Vereinigte Staaten","USD"
"GOOGL","ALPHABET INC CLASS A","Aktien","1,00","1.567,07","31.706","49.685.521","49.685.521,42","Kommunikation","US02079K3059","NASDAQ","Vereinigte Staaten","USD"
"JNJ","JOHNSON & JOHNSON","Aktien","0,83","148,36","278.649","41.340.366","41.340.365,64","Gesundheitsversorgung","US4781601046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NESN","NESTLE SA","Aktien","0,76","119,94","316.604","37.973.078","37.973.077,70","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"PG","PROCTER & GAMBLE","Aktien","0,76","144,21","262.202","37.812.150","37.812.150,42","Nichtzyklische Konsumgüter","US7427181091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NVDA","NVIDIA CORP","Aktien","0,75","569,93","65.097","37.100.733","37.100.733,21","IT","US67066G1040","NASDAQ","Vereinigte Staaten","USD"
"V","VISA INC CLASS A","Aktien","0,73","204,32","178.682","36.508.306","36.508.306,24","IT","US92826C8394","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TSLA","TESLA INC","Aktien","0,70","446,65","78.590","35.102.224","35.102.223,50","Zyklische Konsumgüter ","US88160R1014","NASDAQ","Vereinigte Staaten","USD"
"UNH","UNITEDHEALTH GROUP INC","Aktien","0,67","331,42","101.321","33.579.806","33.579.805,82","Gesundheitsversorgung","US91324P1021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HD","HOME DEPOT INC","Aktien","0,66","290,36","113.986","33.096.975","33.096.974,96","Zyklische Konsumgüter ","US4370761029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MA","MASTERCARD INC CLASS A","Aktien","0,66","345,84","95.171","32.913.939","32.913.938,64","IT","US57636Q1040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"JPM","JPMORGAN CHASE & CO","Aktien","0,65","100,78","322.713","32.523.016","32.523.016,14","Financials","US46625H1005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Aktien","0,63","212,31","146.681","31.141.843","31.141.843,11","Financials","US0846707026","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ADBE","ADOBE INC","Aktien","0,53","514,31","51.001","26.230.324","26.230.324,31","IT","US00724F1012","NASDAQ","Vereinigte Staaten","USD"
"ROG","ROCHE HOLDING PAR AG","Aktien","0,52","350,62","74.495","26.119.718","26.119.717,66","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"VZ","VERIZON COMMUNICATIONS INC","Aktien","0,52","59,36","436.518","25.911.708","25.911.708,48","Kommunikation","US92343V1044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NFLX","NETFLIX INC","Aktien","0,52","554,09","46.432","25.727.507","25.727.506,88","Kommunikation","US64110L1061","NASDAQ","Vereinigte Staaten","USD"
"CRM","SALESFORCE.COM INC","Aktien","0,51","266,83","95.232","25.410.755","25.410.754,56","IT","US79466L3024","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DIS","WALT DISNEY","Aktien","0,49","128,96","190.327","24.544.570","24.544.569,92","Kommunikation","US2546871060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"INTC","INTEL CORPORATION CORP","Aktien","0,49","53,83","454.225","24.450.932","24.450.931,75","IT","US4581401001","NASDAQ","Vereinigte Staaten","USD"
"PYPL","PAYPAL HOLDINGS INC","Aktien","0,49","207,74","117.695","24.449.959","24.449.959,30","IT","US70450Y1038","NASDAQ","Vereinigte Staaten","USD"
"CMCSA","COMCAST CORP CLASS A","Aktien","0,45","45,89","483.745","22.199.058","22.199.058,05","Kommunikation","US20030N1019","NASDAQ","Vereinigte Staaten","USD"
"MRK","MERCK & CO INC","Aktien","0,44","80,71","270.647","21.843.919","21.843.919,37","Gesundheitsversorgung","US58933Y1055","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WMT","WALMART INC","Aktien","0,44","146,23","149.276","21.828.629","21.828.629,48","Nichtzyklische Konsumgüter","US9311421039","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KO","COCA-COLA","Aktien","0,44","50,22","432.170","21.703.577","21.703.577,40","Nichtzyklische Konsumgüter","US1912161007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFE","PFIZER INC","Aktien","0,43","36,90","585.869","21.618.566","21.618.566,10","Gesundheitsversorgung","US7170811035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"T","AT&T INC","Aktien","0,42","27,75","761.728","21.137.952","21.137.952,00","Kommunikation","US00206R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PEP","PEPSICO INC","Aktien","0,42","143,54","147.153","21.122.342","21.122.341,62","Nichtzyklische Konsumgüter","US7134481081","NASDAQ","Vereinigte Staaten","USD"
"BAC","BANK OF AMERICA CORP","Aktien","0,42","24,95","834.672","20.825.066","20.825.066,40","Financials","US0605051046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NOVN","NOVARTIS AG","Aktien","0,41","87,68","232.819","20.413.064","20.413.064,43","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"ABT","ABBOTT LABORATORIES","Aktien","0,41","108,37","187.435","20.312.331","20.312.330,95","Gesundheitsversorgung","US0028241000","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Aktien","0,40","467,53","42.143","19.703.117","19.703.116,79","Gesundheitsversorgung","US8835561023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
