Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"NESN","NESTLE SA","Aktien","4,05","102,13","2.307.954","235.705.929","235.705.928,71","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"ROG","ROCHE HOLDING PAR AG","Aktien","2,79","298,55","544.823","162.659.991","162.659.991,17","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"NOVN","NOVARTIS AG","Aktien","2,21","74,66","1.721.216","128.501.773","128.501.772,70","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"ASML","ASML HOLDING NV","Aktien","1,95","344,25","330.134","113.648.630","113.648.629,50","IT","NL0010273215","Euronext Amsterdam","Niederlande","EUR"
"SAP","SAP","Aktien","1,86","134,08","809.797","108.577.582","108.577.581,76","IT","DE0007164600","Xetra","Deutschland","EUR"
"AZN","ASTRAZENECA PLC","Aktien","1,64","93,50","1.019.753","95.349.698","95.349.698,01","Gesundheitsversorgung","GB0009895292","London Stock Exchange","Vereinigtes Königreich","GBP"
"MC","LVMH","Aktien","1,54","416,75","215.431","89.780.869","89.780.869,25","Zyklische Konsumgüter ","FR0000121014","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"NOVO B","NOVO NORDISK CLASS B","Aktien","1,43","62,60","1.334.842","83.558.498","83.558.497,75","Gesundheitsversorgung","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"SAN","SANOFI SA","Aktien","1,32","87,52","876.313","76.694.914","76.694.913,76","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"SIE","SIEMENS N AG","Aktien","1,14","111,24","594.781","66.163.438","66.163.438,44","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"GSK","GLAXOSMITHKLINE PLC","Aktien","1,06","15,92","3.880.751","61.767.018","61.767.017,64","Gesundheitsversorgung","GB0009252882","London Stock Exchange","Vereinigtes Königreich","GBP"
"UNA","UNILEVER NV","Aktien","1,03","52,94","1.132.592","59.959.420","59.959.420,48","Nichtzyklische Konsumgüter","NL0000388619","Euronext Amsterdam","Niederlande","EUR"
