Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"INTC","INTEL CORPORATION CORP","Aktien","4,87","52,82","1.721.534","90.931.426","90.931.425,88","IT","US4581401001","NASDAQ","Vereinigte Staaten","USD"
"T","AT&T INC","Aktien","3,11","28,32","2.048.688","58.018.844","58.018.844,16","Kommunikation","US00206R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Aktien","2,44","127,79","356.122","45.508.830","45.508.830,38","IT","US4592001014","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"7203","TOYOTA MOTOR CORP","Aktien","2,19","65,94","619.700","40.863.659","40.863.659,08","Zyklische Konsumgüter ","JP3633400001","Tokyo Stock Exchange","Japan","JPY"
"MU","MICRON TECHNOLOGY INC","Aktien","2,10","49,89","783.492","39.088.416","39.088.415,88","IT","US5951121038","NASDAQ","Vereinigte Staaten","USD"
"PFE","PFIZER INC","Aktien","1,70","36,79","862.478","31.730.566","31.730.565,62","Gesundheitsversorgung","US7170811035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Aktien","1,70","35,22","898.427","31.646.714","31.646.713,74","Nichtzyklische Konsumgüter","GB0002875804","London Stock Exchange","Vereinigtes Königreich","GBP"
"6501","HITACHI LTD","Aktien","1,33","34,55","717.500","24.787.043","24.787.042,73","IT","JP3788600009","Tokyo Stock Exchange","Japan","JPY"
"9984","SOFTBANK GROUP CORP","Aktien","1,17","66,22","328.400","21.748.283","21.748.282,62","Kommunikation","JP3436100006","Tokyo Stock Exchange","Japan","JPY"
"SAN","SANOFI SA","Aktien","1,16","101,97","211.564","21.573.382","21.573.381,96","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"CVS","CVS HEALTH CORP","Aktien","1,15","59,40","362.492","21.532.025","21.532.024,80","Gesundheitsversorgung","US1266501006","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AVGO","BROADCOM INC","Aktien","1,07","376,70","52.972","19.954.552","19.954.552,40","IT","US11135F1012","NASDAQ","Vereinigte Staaten","USD"
"ENGI","ENGIE SA","Aktien","0,97","14,34","1.264.114","18.130.938","18.130.938,07","Versorger","FR0010208488","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"8058","MITSUBISHI CORP","Aktien","0,97","24,15","750.507","18.124.259","18.124.259,24","Industrie","JP3898400001","Tokyo Stock Exchange","Japan","JPY"
"8001","ITOCHU CORP","Aktien","0,94","25,04","698.400","17.487.267","17.487.267,05","Industrie","JP3143600009","Tokyo Stock Exchange","Japan","JPY"
"8031","MITSUI LTD","Aktien","0,90","17,50","962.000","16.830.789","16.830.788,89","Industrie","JP3893600001","Tokyo Stock Exchange","Japan","JPY"
"ABBV","ABBVIE INC","Aktien","0,89","87,70","189.859","16.650.634","16.650.634,30","Gesundheitsversorgung","US00287Y1091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GILD","GILEAD SCIENCES INC","Aktien","0,87","63,84","253.307","16.171.119","16.171.118,88","Gesundheitsversorgung","US3755581036","NASDAQ","Vereinigte Staaten","USD"
"C","CITIGROUP INC","Aktien","0,86","44,93","356.908","16.035.876","16.035.876,44","Financials","US1729674242","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
