Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Aktien","0,28","84,39","49.119","4.145.152","4.145.152,41","Gesundheitsversorgung","IE00BQPVQZ61","NASDAQ","Vereinigte Staaten","USD"
"ETSY","ETSY INC","Aktien","0,28","146,67","27.750","4.070.093","4.070.092,50","Zyklische Konsumgüter ","US29786A1060","NASDAQ","Vereinigte Staaten","USD"
"IMMU","IMMUNOMEDICS INC","Aktien","0,27","86,00","45.977","3.954.022","3.954.022,00","Gesundheitsversorgung","US4529071080","NASDAQ","Vereinigte Staaten","USD"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Aktien","0,25","305,35","11.920","3.639.772","3.639.772,00","IT","US83417M1045","NASDAQ","Vereinigte Staaten","USD"
"CVNA","CARVANA CLASS A","Aktien","0,22","213,45","15.445","3.296.735","3.296.735,25","Zyklische Konsumgüter ","US1468691027","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"POOL","POOL CORP","Aktien","0,21","346,55","9.039","3.132.465","3.132.465,45","Zyklische Konsumgüter ","US73278L1052","NASDAQ","Vereinigte Staaten","USD"
"HUBS","HUBSPOT INC","Aktien","0,21","321,57","9.437","3.034.656","3.034.656,09","IT","US4435731009","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Aktien","0,20","315,46","9.490","2.993.715","2.993.715,40","IT","US6098391054","NASDAQ","Vereinigte Staaten","USD"
"USD","USD CASH","Geldmarkt","0,20","100,00","2.991.174","2.991.174","2.991.174,28","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"GNRC","GENERAC HOLDINGS INC","Aktien","0,20","205,53","14.197","2.917.909","2.917.909,41","Industrie","US3687361044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Aktien","0,20","242,57","11.922","2.891.920","2.891.919,54","Gesundheitsversorgung","US1598641074","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ZEN","ZENDESK INC","Aktien","0,19","110,86","25.789","2.858.969","2.858.968,54","IT","US98936J1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NVCR","NOVOCURE LTD","Aktien","0,18","138,72","19.444","2.697.272","2.697.271,68","Gesundheitsversorgung","JE00BYSS4X48","NASDAQ","Vereinigte Staaten","USD"
"MYOK","MYOKARDIA INC","Aktien","0,18","221,23","11.880","2.628.212","2.628.212,40","Gesundheitsversorgung","US62857M1053","NASDAQ","Vereinigte Staaten","USD"
"ENTG","ENTEGRIS INC","Aktien","0,17","82,75","30.463","2.520.661","2.520.660,94","IT","US29362U1043","NASDAQ","Vereinigte Staaten","USD"
"QDEL","QUIDEL CORP","Aktien","0,17","278,05","8.948","2.487.991","2.487.991,40","Gesundheitsversorgung","US74838J1016","NASDAQ","Vereinigte Staaten","USD"
"EUR","EUR CASH","Geldmarkt","0,17","118,14","2.063.962","2.438.468","2.438.468,45","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"ENPH","ENPHASE ENERGY INC","Aktien","0,16","109,18","22.118","2.414.843","2.414.843,24","IT","US29355A1079","NASDAQ","Vereinigte Staaten","USD"
"CDAY","CERIDIAN HCM HOLDING INC","Aktien","0,16","89,22","27.032","2.411.795","2.411.795,04","IT","US15677J1088","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GGG","GRACO INC","Aktien","0,16","64,55","37.201","2.401.325","2.401.324,55","Industrie","US3841091040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CHGG","CHEGG INC","Aktien","0,16","81,38","28.486","2.318.191","2.318.190,68","Zyklische Konsumgüter ","US1630921096","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TECH","BIO TECHNE CORP","Aktien","0,16","265,08","8.725","2.312.823","2.312.823,00","Gesundheitsversorgung","US09073M1045","NASDAQ","Vereinigte Staaten","USD"
"PENN","PENN NATIONAL GAMING INC","Aktien","0,16","64,70","35.360","2.287.792","2.287.792,00","Zyklische Konsumgüter ","US7075691094","NASDAQ","Vereinigte Staaten","USD"
"EV","EATON VANCE COM NON VOTING CORP","Aktien","0,16","60,31","37.866","2.283.698","2.283.698,46","Financials","US2782651036","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CONE","CYRUSONE REIT INC","Aktien","0,15","80,13","27.443","2.199.008","2.199.007,59","Immobilien","US23283R1005","NASDAQ","Vereinigte Staaten","USD"
"NUAN","NUANCE COMMUNICATIONS INC","Aktien","0,15","34,33","63.395","2.176.350","2.176.350,35","IT","US67020Y1001","NASDAQ","Vereinigte Staaten","USD"
"CZR","CAESARS ENTERTAINMENT INC","Aktien","0,15","52,35","40.966","2.144.570","2.144.570,10","Zyklische Konsumgüter ","US12769G1004","NASDAQ","Vereinigte Staaten","USD"
"FSLY","FASTLY INC CLASS A","Aktien","0,15","126,58","16.929","2.142.873","2.142.872,82","IT","US31188V1008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TREX","TREX INC","Aktien","0,15","78,22","27.374","2.141.194","2.141.194,28","Industrie","US89531P1057","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TTC","TORO","Aktien","0,14","87,66","24.253","2.126.018","2.126.017,98","Industrie","US8910921084","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AZPN","ASPEN TECHNOLOGY INC","Aktien","0,14","132,40","16.009","2.119.592","2.119.591,60","IT","US0453271035","NASDAQ","Vereinigte Staaten","USD"
"FHN","FIRST HORIZON NATIONAL CORP","Aktien","0,14","10,72","195.421","2.094.913","2.094.913,12","Financials","US3205171057","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Aktien","0,14","154,60","13.383","2.069.012","2.069.011,80","Zyklische Konsumgüter ","US1091941005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GLIBA","GCI LIBERTY INC CLASS A","Aktien","0,14","84,59","24.085","2.037.350","2.037.350,15","Kommunikation","US36164V3050","NASDAQ","Vereinigte Staaten","USD"
