Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"PG","PROCTER & GAMBLE","Aktien","4,07","144,21","39.678","5.721.964","5.721.964,38","Nichtzyklische Konsumgüter","US7427181091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ROG","ROCHE HOLDING PAR AG","Aktien","2,81","350,62","11.259","3.947.673","3.947.673,01","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"VZ","VERIZON COMMUNICATIONS INC","Aktien","2,80","59,36","66.323","3.936.933","3.936.933,28","Kommunikation","US92343V1044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFE","PFIZER INC","Aktien","2,34","36,90","89.036","3.285.428","3.285.428,40","Gesundheitsversorgung","US7170811035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KO","COCA-COLA","Aktien","2,33","50,22","65.398","3.284.288","3.284.287,56","Nichtzyklische Konsumgüter","US1912161007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MRK","MERCK & CO INC","Aktien","2,32","80,71","40.468","3.266.172","3.266.172,28","Gesundheitsversorgung","US58933Y1055","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PEP","PEPSICO INC","Aktien","2,27","143,54","22.239","3.192.186","3.192.186,06","Nichtzyklische Konsumgüter","US7134481081","NASDAQ","Vereinigte Staaten","USD"
"T","AT&T INC","Aktien","2,25","27,75","114.164","3.168.051","3.168.051,00","Kommunikation","US00206R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NOVN","NOVARTIS AG","Aktien","2,22","87,68","35.588","3.120.279","3.120.278,57","Gesundheitsversorgung","CH0012005267","Six Swiss Exchange Ag","Schweiz","CHF"
"CSCO","CISCO SYSTEMS INC","Aktien","1,91","39,81","67.546","2.689.006","2.689.006,26","IT","US17275R1023","NASDAQ","Vereinigte Staaten","USD"
"ABBV","ABBVIE INC","Aktien","1,77","87,83","28.311","2.486.555","2.486.555,13","Gesundheitsversorgung","US00287Y1091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"XOM","EXXON MOBIL CORP","Aktien","1,65","34,22","67.777","2.319.329","2.319.328,94","Energie","US30231G1022","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TXN","TEXAS INSTRUMENT INC","Aktien","1,62","154,49","14.736","2.276.565","2.276.564,64","IT","US8825081040","NASDAQ","Vereinigte Staaten","USD"
"7203","TOYOTA MOTOR CORP","Aktien","1,61","66,61","33.900","2.258.180","2.258.179,75","Zyklische Konsumgüter ","JP3633400001","Tokyo Stock Exchange","Japan","JPY"
"AMGN","AMGEN INC","Aktien","1,60","239,34","9.429","2.256.737","2.256.736,86","Gesundheitsversorgung","US0311621009","NASDAQ","Vereinigte Staaten","USD"
"BMY","BRISTOL MYERS SQUIBB","Aktien","1,58","61,13","36.269","2.217.124","2.217.123,97","Gesundheitsversorgung","US1101221083","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Aktien","1,41","175,33","11.287","1.978.950","1.978.949,71","Industrie","US9113121068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Aktien","1,41","79,21","24.962","1.977.240","1.977.240,02","Nichtzyklische Konsumgüter","US7181721090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SAN","SANOFI SA","Aktien","1,32","102,78","18.122","1.862.642","1.862.642,37","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Aktien","1,27","125,10","14.233","1.780.548","1.780.548,30","IT","US4592001014","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SIE","SIEMENS N AG","Aktien","1,13","130,64","12.212","1.595.379","1.595.378,81","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"LMT","LOCKHEED MARTIN CORP","Aktien","1,12","388,95","4.041","1.571.747","1.571.746,95","Industrie","US5398301094","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MMM","3M","Aktien","1,09","166,63","9.232","1.538.328","1.538.328,16","Industrie","US88579Y1010","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GSK","GLAXOSMITHKLINE PLC","Aktien","1,07","18,69","80.563","1.505.888","1.505.887,50","Gesundheitsversorgung","GB0009252882","London Stock Exchange","Vereinigtes Königreich","GBP"
"UNA","UNILEVER NV","Aktien","1,03","62,17","23.418","1.455.961","1.455.961,13","Nichtzyklische Konsumgüter","NL0000388619","Euronext Amsterdam","Niederlande","EUR"
"RTX","RAYTHEON TECHNOLOGIES CORP","Aktien","1,02","59,52","24.186","1.439.551","1.439.550,72","Industrie","US75513E1010","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FP","TOTAL","Aktien","0,97","34,30","39.629","1.359.442","1.359.442,09","Energie","FR0000120271","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ALV","ALLIANZ","Aktien","0,93","195,56","6.694","1.309.086","1.309.085,92","Financials","DE0008404005","Xetra","Deutschland","EUR"
"BATS","BRITISH AMERICAN TOBACCO PLC","Aktien","0,93","35,24","36.956","1.302.477","1.302.477,41","Nichtzyklische Konsumgüter","GB0002875804","London Stock Exchange","Vereinigtes Königreich","GBP"
"GILD","GILEAD SCIENCES INC","Aktien","0,92","64,49","20.165","1.300.441","1.300.440,85","Gesundheitsversorgung","US3755581036","NASDAQ","Vereinigte Staaten","USD"
"CVS","CVS HEALTH CORP","Aktien","0,88","59,12","20.954","1.238.800","1.238.800,48","Gesundheitsversorgung","US1266501006","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IBE","IBERDROLA SA","Aktien","0,88","13,09","94.227","1.233.308","1.233.307,80","Versorger","ES0144580Y14","Bolsa De Madrid","Spanien","EUR"
"ULVR","UNILEVER PLC","Aktien","0,84","63,29","18.735","1.185.809","1.185.808,67","Nichtzyklische Konsumgüter","GB00B10RZP78","London Stock Exchange","Vereinigtes Königreich","GBP"
"MO","ALTRIA GROUP INC","Aktien","0,84","39,38","29.846","1.175.335","1.175.335,48","Nichtzyklische Konsumgüter","US02209S1033","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SU","SCHNEIDER ELECTRIC","Aktien","0,82","130,48","8.864","1.156.538","1.156.537,85","Industrie","FR0000121972","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"RIO","RIO TINTO PLC","Aktien","0,78","61,22","17.990","1.101.393","1.101.392,72","Materialien","GB0007188757","London Stock Exchange","Vereinigtes Königreich","GBP"
"DUK","DUKE ENERGY CORP","Aktien","0,78","92,92","11.813","1.097.664","1.097.663,96","Versorger","US26441C2044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PGR","PROGRESSIVE CORP","Aktien","0,67","100,27","9.395","942.037","942.036,65","Financials","US7433151039","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TFC","TRUIST FINANCIAL CORP","Aktien","0,66","42,60","21.669","923.099","923.099,40","Financials","US89832Q1094","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KMB","KIMBERLY CLARK CORP","Aktien","0,60","154,22","5.488","846.359","846.359,36","Nichtzyklische Konsumgüter","US4943681035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Aktien","0,59","347,01","2.412","836.994","836.994,09","Financials","CH0011075394","Six Swiss Exchange Ag","Schweiz","CHF"
"AEP","AMERICAN ELECTRIC POWER INC","Aktien","0,51","89,23","7.977","711.788","711.787,71","Versorger","US0255371017","NASDAQ","Vereinigte Staaten","USD"
"ETN","EATON PLC","Aktien","0,49","107,60","6.440","692.944","692.944,00","Industrie","IE00B8KQN827","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NG.","NATIONAL GRID PLC","Aktien","0,49","12,18","56.204","684.322","684.321,56","Versorger","GB00BDR05C01","London Stock Exchange","Vereinigtes Königreich","GBP"
"9433","KDDI CORP","Aktien","0,48","25,55","26.300","671.985","671.985,12","Kommunikation","JP3496400007","Tokyo Stock Exchange","Japan","JPY"
"EMR","EMERSON ELECTRIC","Aktien","0,47","68,89","9.605","661.688","661.688,45","Industrie","US2910111044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"9437","NTT DOCOMO INC","Aktien","0,47","36,74","18.000","661.259","661.259,30","Kommunikation","JP3165650007","Tokyo Stock Exchange","Japan","JPY"
"TRP","TC ENERGY CORP","Aktien","0,47","43,62","15.075","657.545","657.544,90","Energie","CA87807B1076","Toronto Stock Exchange","Kanada","CAD"
"8035","TOKYO ELECTRON LTD","Aktien","0,46","272,37","2.400","653.698","653.697,83","IT","JP3571400005","Tokyo Stock Exchange","Japan","JPY"
"WES","WESFARMERS LTD","Aktien","0,44","34,15","18.133","619.299","619.298,84","Zyklische Konsumgüter ","AU000000WES1","Asx - All Markets","Australien","AUD"
"GIS","GENERAL MILLS INC","Aktien","0,43","62,72","9.741","610.956","610.955,52","Nichtzyklische Konsumgüter","US3703341046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"XEL","XCEL ENERGY INC","Aktien","0,43","73,00","8.354","609.842","609.842,00","Versorger","US98389B1008","NASDAQ","Vereinigte Staaten","USD"
"SRE","SEMPRA ENERGY","Aktien","0,42","126,55","4.708","595.797","595.797,40","Versorger","US8168511090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Aktien","0,41","68,96","8.443","582.269","582.269,49","Zyklische Konsumgüter ","CH0210483332","Six Swiss Exchange Ag","Schweiz","CHF"
"DOW","DOW INC","Aktien","0,41","47,88","11.950","572.166","572.166,00","Materialien","US2605571031","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GD","GENERAL DYNAMICS CORP","Aktien","0,40","143,24","3.902","558.922","558.922,48","Industrie","US3695501086","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Aktien","0,39","76,55","7.178","549.481","549.481,12","Financials","CA1360691010","Toronto Stock Exchange","Kanada","CAD"
"8001","ITOCHU CORP","Aktien","0,38","24,98","21.400","534.518","534.518,41","Industrie","JP3143600009","Tokyo Stock Exchange","Japan","JPY"
"CMI","CUMMINS INC","Aktien","0,38","220,45","2.413","531.946","531.945,85","Industrie","US2310211063","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TROW","T ROWE PRICE GROUP INC","Aktien","0,38","144,18","3.660","527.699","527.698,80","Financials","US74144T1088","NASDAQ","Vereinigte Staaten","USD"
"9434","SOFTBANK CORP","Aktien","0,37","11,42","45.700","521.803","521.803,19","Kommunikation","JP3732000009","Tokyo Stock Exchange","Japan","JPY"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Aktien","0,37","29,11","17.775","517.490","517.490,26","Nichtzyklische Konsumgüter","NL0011794037","Euronext Amsterdam","Niederlande","EUR"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Aktien","0,37","42,44","12.108","513.864","513.863,52","Industrie","IE00BY7QL619","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
