Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"IBE","IBERDROLA SA","Aktien","4,73","11,15","211.392","2.355.964","2.355.963,84","Versorger","ES0144580Y14","Bolsa De Madrid","Spanien","EUR"
"SIE","SIEMENS N AG","Aktien","4,52","111,24","20.220","2.249.273","2.249.272,80","Industrie","DE0007236101","Xetra","Deutschland","EUR"
"UNA","UNILEVER NV","Aktien","4,50","52,94","42.293","2.238.991","2.238.991,42","Nichtzyklische Konsumgüter","NL0000388619","Euronext Amsterdam","Niederlande","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Aktien","4,13","295,48","6.951","2.053.886","2.053.886,00","Financials","CH0011075394","Six Swiss Exchange Ag","Schweiz","CHF"
"RIO","RIO TINTO PLC","Aktien","4,11","52,13","39.224","2.044.781","2.044.781,35","Materialien","GB0007188757","London Stock Exchange","Vereinigtes Königreich","GBP"
"ALV","ALLIANZ","Aktien","3,99","166,52","11.937","1.987.749","1.987.749,24","Financials","DE0008404005","Xetra","Deutschland","EUR"
"AAL","ANGLO AMERICAN PLC","Aktien","3,89","21,46","90.173","1.935.558","1.935.557,86","Materialien","GB00B1XZS820","London Stock Exchange","Vereinigtes Königreich","GBP"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Aktien","3,83","24,13","79.071","1.907.983","1.907.983,23","Zyklische Konsumgüter ","ES0148396007","Bolsa De Madrid","Spanien","EUR"
"NG.","NATIONAL GRID PLC","Aktien","3,82","10,37","183.549","1.902.957","1.902.957,01","Versorger","GB00BDR05C01","London Stock Exchange","Vereinigtes Königreich","GBP"
"SAN","SANOFI SA","Aktien","3,80","87,52","21.633","1.893.320","1.893.320,16","Gesundheitsversorgung","FR0000120578","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"FP","TOTAL","Aktien","3,33","29,21","56.844","1.660.413","1.660.413,24","Energie","FR0000120271","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BATS","BRITISH AMERICAN TOBACCO PLC","Aktien","3,32","30,01","55.100","1.653.563","1.653.563,20","Nichtzyklische Konsumgüter","GB0002875804","London Stock Exchange","Vereinigtes Königreich","GBP"
"GSK","GLAXOSMITHKLINE PLC","Aktien","3,23","15,92","101.024","1.607.924","1.607.923,62","Gesundheitsversorgung","GB0009252882","London Stock Exchange","Vereinigtes Königreich","GBP"
"SSE","SSE PLC","Aktien","2,29","14,91","76.534","1.140.785","1.140.784,63","Versorger","GB0007908733","London Stock Exchange","Vereinigtes Königreich","GBP"
"UPM","UPM-KYMMENE","Aktien","2,07","26,18","39.290","1.028.612","1.028.612,20","Materialien","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"IMB","IMPERIAL BRANDS PLC","Aktien","2,06","14,75","69.547","1.025.488","1.025.488,46","Nichtzyklische Konsumgüter","GB0004544929","London Stock Exchange","Vereinigtes Königreich","GBP"
"SGSN","SGS SA","Aktien","2,05","2.294,14","445","1.020.895","1.020.894,50","Industrie","CH0002497458","Six Swiss Exchange Ag","Schweiz","CHF"
"G","ASSICURAZIONI GENERALI","Aktien","2,02","12,35","81.247","1.003.400","1.003.400,45","Financials","IT0000062072","Borsa Italiana","Italien","EUR"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Aktien","1,91","4,65","204.875","951.849","951.849,25","Versorger","PTEDP0AM0009","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"EQNR","EQUINOR","Aktien","1,84","12,45","73.772","918.101","918.100,51","Energie","NO0010096985","Oslo Bors Asa","Norwegen","NOK"
"SCMN","SWISSCOM AG","Aktien","1,78","466,28","1.904","887.804","887.803,90","Kommunikation","CH0008742519","Six Swiss Exchange Ag","Schweiz","CHF"
"III","3I GROUP PLC","Aktien","1,70","11,83","71.690","848.207","848.206,73","Financials","GB00B1YW4409","London Stock Exchange","Vereinigtes Königreich","GBP"
"BT.A","BT GROUP PLC","Aktien","1,55","1,18","655.729","772.931","772.931,40","Kommunikation","GB0030913577","London Stock Exchange","Vereinigtes Königreich","GBP"
"SLHN","SWISS LIFE HOLDING AG","Aktien","1,54","325,76","2.349","765.222","765.221,64","Financials","CH0014852781","Six Swiss Exchange Ag","Schweiz","CHF"
"NN","NN GROUP NV","Aktien","1,42","33,15","21.300","706.095","706.095,00","Financials","NL0010773842","Euronext Amsterdam","Niederlande","EUR"
"REP","REPSOL SA","Aktien","1,35","6,14","109.377","671.794","671.793,53","Energie","ES0173516115","Bolsa De Madrid","Spanien","EUR"
"SRG","SNAM","Aktien","1,33","4,41","149.697","659.715","659.714,68","Versorger","IT0003153415","Borsa Italiana","Italien","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Aktien","1,28","6,14","103.456","635.427","635.426,75","Versorger","IT0003242622","Borsa Italiana","Italien","EUR"
"FORTUM","FORTUM","Aktien","1,19","18,05","32.705","590.325","590.325,25","Versorger","FI0009007132","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"HNR1","HANNOVER RUECK","Aktien","1,17","131,00","4.449","582.819","582.819,00","Financials","DE0008402215","Xetra","Deutschland","EUR"
"PNDORA","PANDORA","Aktien","1,16","77,89","7.394","575.942","575.942,47","Zyklische Konsumgüter ","DK0060252690","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"ELE","ENDESA SA","Aktien","1,12","23,74","23.508","558.080","558.079,92","Versorger","ES0130670112","Bolsa De Madrid","Spanien","EUR"
"ADEN","ADECCO GROUP AG","Aktien","1,10","47,93","11.475","550.030","550.030,10","Industrie","CH0012138605","Six Swiss Exchange Ag","Schweiz","CHF"
"ELISA","ELISA","Aktien","1,07","51,04","10.476","534.695","534.695,04","Kommunikation","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"CCEP","COCA COLA EUROPEAN PARTNERS PLC","Aktien","1,03","34,04","15.034","511.801","511.801,19","Nichtzyklische Konsumgüter","GB00BDCPN049","New York Stock Exchange Inc.","Niederlande","USD"
"MOWI","MOWI","Aktien","1,02","15,79","32.222","508.666","508.665,96","Nichtzyklische Konsumgüter","NO0003054108","Oslo Bors Asa","Norwegen","NOK"
"PUB","PUBLICIS GROUPE SA","Aktien","0,98","30,61","15.971","488.872","488.872,31","Kommunikation","FR0000130577","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Aktien","0,95","23,48","20.163","473.427","473.427,24","Industrie","ES0167050915","Bolsa De Madrid","Spanien","EUR"
"BDEV","BARRATT DEVELOPMENTS PLC","Aktien","0,90","6,01","74.929","450.556","450.555,71","Zyklische Konsumgüter ","GB0000811801","London Stock Exchange","Vereinigtes Königreich","GBP"
"SPSN","SWISS PRIME SITE AG","Aktien","0,87","77,39","5.606","433.836","433.835,95","Immobilien","CH0008038389","SIX Swiss Exchange","Schweiz","CHF"
"BALN","BALOISE HOLDING AG","Aktien","0,87","125,42","3.435","430.829","430.828,68","Financials","CH0012410517","SIX Swiss Exchange","Schweiz","CHF"
"REE","RED ELECTRICA SA","Aktien","0,86","15,93","26.872","428.071","428.070,96","Versorger","ES0173093024","Bolsa De Madrid","Spanien","EUR"
"ADM","ADMIRAL GROUP PLC","Aktien","0,85","29,91","14.111","422.070","422.069,93","Financials","GB00B02J6398","London Stock Exchange","Vereinigtes Königreich","GBP"
"SW","SODEXO SA","Aktien","0,82","62,60","6.554","410.280","410.280,40","Zyklische Konsumgüter ","FR0000121220","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"JMAT","JOHNSON MATTHEY PLC","Aktien","0,75","26,38","14.193","374.459","374.458,76","Materialien","GB00BZ4BQC70","London Stock Exchange","Vereinigtes Königreich","GBP"
"MNG","M&G PLC","Aktien","0,69","1,80","190.351","342.980","342.980,07","Financials","GB00BKFB1C65","London Stock Exchange","Vereinigtes Königreich","GBP"
"AT1","AROUNDTOWN PROPERTY HOLDINGS SA","Aktien","0,67","4,56","73.303","334.042","334.041,77","Immobilien","LU1673108939","Xetra","Deutschland","EUR"
"SDR","SCHRODERS PLC","Aktien","0,57","31,09","9.125","283.731","283.731,49","Financials","GB0002405495","London Stock Exchange","Vereinigtes Königreich","GBP"
"LUNE","LUNDIN ENERGY","Aktien","0,51","18,16","13.855","251.660","251.659,56","Energie","SE0000825820","Nasdaq Omx Nordic","Schweden","SEK"
"TRYG","TRYG","Aktien","0,49","27,70","8.885","246.132","246.131,69","Financials","DK0060636678","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"ENR","SIEMENS ENERGY N AG","Aktien","0,44","21,71","10.064","218.489","218.489,44","Industrie","DE000ENER6Y0","Xetra","Deutschland","EUR"
"EO","FAURECIA","Aktien","0,42","37,58","5.566","209.170","209.170,28","Zyklische Konsumgüter ","FR0000121147","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"PROX","PROXIMUS NV","Aktien","0,39","17,18","11.433","196.476","196.476,10","Kommunikation","BE0003810273","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"ENG","ENAGAS SA","Aktien","0,37","19,58","9.506","186.127","186.127,48","Versorger","ES0130960018","Bolsa De Madrid","Spanien","EUR"
"HOT","HOCHTIEF AG","Aktien","0,26","71,35","1.817","129.643","129.642,95","Industrie","DE0006070006","Xetra","Deutschland","EUR"
"MAP","MAPFRE SA","Aktien","0,23","1,35","85.500","114.998","114.997,50","Financials","ES0124244E34","Bolsa De Madrid","Spanien","EUR"
"B4B","METRO AG","Aktien","0,23","8,49","13.237","112.435","112.435,08","Nichtzyklische Konsumgüter","DE000BFB0019","Xetra","Deutschland","EUR"
"GBP","GBP CASH","Geldmarkt","0,19","110,58","85.858","94.938","94.937,81","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"EUR","EUR CASH","Geldmarkt","0,13","100,00","63.062","63.062","63.062,31","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Money Market","0,13","99,24","635","63.048","63.047,55","Cash und/oder Derivate","IE00B568BM13","-","Irland","EUR"
"HSBFT","CASH COLLATERAL EUR HSBFT","Cash Collateral and Margins","0,08","100,00","40.000","40.000","40.000,00","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"CHF","CHF CASH","Geldmarkt","0,08","93,18","40.390","37.636","37.635,87","Cash und/oder Derivate","-","-","Schweiz","CHF"
"SEK","SEK CASH","Geldmarkt","0,01","9,67","46.656","4.513","4.512,52","Cash und/oder Derivate","-","-","Schweden","SEK"
"NOK","NOK CASH","Geldmarkt","0,01","9,24","32.182","2.974","2.974,46","Cash und/oder Derivate","-","-","Norwegen","NOK"
"DKK","DKK CASH","Geldmarkt","0,00","13,43","12.876","1.730","1.729,88","Cash und/oder Derivate","-","-","Dänemark","DKK"
"USD","USD CASH","Geldmarkt","0,00","85,15","1.240","1.056","1.055,93","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"IDX0","IBEX MINI IDX NOV 20","Futures","0,00","6.849,00","43","0","294.507,00","Cash und/oder Derivate","ES0B00067313","Meff Renta Variable","-","EUR"
 
