Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"AAPL","APPLE INC","Aktien","4,61","116,97","269.318","31.502.126","31.502.126,46","IT","US0378331005","NASDAQ","Vereinigte Staaten","USD"
"MSFT","MICROSOFT CORP","Aktien","3,54","215,81","112.048","24.181.079","24.181.078,88","IT","US5949181045","NASDAQ","Vereinigte Staaten","USD"
"AMZN","AMAZON COM INC","Aktien","3,18","3.286,65","6.604","21.705.037","21.705.036,60","Zyklische Konsumgüter ","US0231351067","NASDAQ","Vereinigte Staaten","USD"
"FB","FACEBOOK CLASS A INC","Aktien","1,45","264,45","37.407","9.892.281","9.892.281,15","Kommunikation","US30303M1027","NASDAQ","Vereinigte Staaten","USD"
"GOOG","ALPHABET INC CLASS C","Aktien","1,04","1.515,22","4.693","7.110.927","7.110.927,46","Kommunikation","US02079K1079","NASDAQ","Vereinigte Staaten","USD"
"GOOGL","ALPHABET INC CLASS A","Aktien","1,03","1.510,45","4.671","7.055.312","7.055.311,95","Kommunikation","US02079K3059","NASDAQ","Vereinigte Staaten","USD"
"JNJ","JOHNSON & JOHNSON","Aktien","0,91","150,97","41.058","6.198.526","6.198.526,26","Gesundheitsversorgung","US4781601046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NESN","NESTLE SA","Aktien","0,81","119,18","46.425","5.533.115","5.533.114,51","Nichtzyklische Konsumgüter","CH0038863350","Six Swiss Exchange Ag","Schweiz","CHF"
"PG","PROCTER & GAMBLE","Aktien","0,80","142,92","38.471","5.498.275","5.498.275,32","Nichtzyklische Konsumgüter","US7427181091","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"V","VISA INC CLASS A","Aktien","0,79","206,64","26.181","5.410.042","5.410.041,84","IT","US92826C8394","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NVDA","NVIDIA CORP","Aktien","0,77","550,51","9.525","5.243.608","5.243.607,75","IT","US67066G1040","NASDAQ","Vereinigte Staaten","USD"
"TSLA","TESLA INC","Aktien","0,73","434,00","11.527","5.002.718","5.002.718,00","Zyklische Konsumgüter ","US88160R1014","NASDAQ","Vereinigte Staaten","USD"
"MA","MASTERCARD INC CLASS A","Aktien","0,72","352,39","13.910","4.901.745","4.901.744,90","IT","US57636Q1040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UNH","UNITEDHEALTH GROUP INC","Aktien","0,71","327,84","14.757","4.837.935","4.837.934,88","Gesundheitsversorgung","US91324P1021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"JPM","JPMORGAN CHASE & CO","Aktien","0,71","101,20","47.698","4.827.038","4.827.037,60","Financials","US46625H1005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HD","HOME DEPOT INC","Aktien","0,70","285,92","16.691","4.772.291","4.772.290,72","Zyklische Konsumgüter ","US4370761029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Aktien","0,68","215,68","21.477","4.632.159","4.632.159,36","Financials","US0846707026","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ROG","ROCHE HOLDING PAR AG","Aktien","0,56","351,87","10.923","3.843.477","3.843.477,46","Gesundheitsversorgung","CH0012032048","Six Swiss Exchange Ag","Schweiz","CHF"
"ADBE","ADOBE INC","Aktien","0,55","502,16","7.539","3.785.784","3.785.784,24","IT","US00724F1012","NASDAQ","Vereinigte Staaten","USD"
"VZ","VERIZON COMMUNICATIONS INC","Aktien","0,55","59,33","63.706","3.779.677","3.779.676,98","Kommunikation","US92343V1044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CRM","SALESFORCE.COM INC","Aktien","0,54","265,98","13.904","3.698.186","3.698.185,92","IT","US79466L3024","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NFLX","NETFLIX INC","Aktien","0,54","539,44","6.822","3.680.060","3.680.059,68","Kommunikation","US64110L1061","NASDAQ","Vereinigte Staaten","USD"
"DIS","WALT DISNEY","Aktien","0,51","124,98","27.967","3.495.316","3.495.315,66","Kommunikation","US2546871060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"INTC","INTEL CORPORATION CORP","Aktien","0,51","52,82","66.068","3.489.712","3.489.711,76","IT","US4581401001","NASDAQ","Vereinigte Staaten","USD"
"PYPL","PAYPAL HOLDINGS INC","Aktien","0,50","197,27","17.363","3.425.199","3.425.199,01","IT","US70450Y1038","NASDAQ","Vereinigte Staaten","USD"
"KO","COCA-COLA","Aktien","0,47","50,81","62.902","3.196.051","3.196.050,62","Nichtzyklische Konsumgüter","US1912161007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MRK","MERCK & CO INC","Aktien","0,46","80,36","39.518","3.175.666","3.175.666,48","Gesundheitsversorgung","US58933Y1055","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFE","PFIZER INC","Aktien","0,46","36,79","86.115","3.168.171","3.168.170,85","Gesundheitsversorgung","US7170811035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CMCSA","COMCAST CORP CLASS A","Aktien","0,46","44,85","70.121","3.144.927","3.144.926,85","Kommunikation","US20030N1019","NASDAQ","Vereinigte Staaten","USD"
"T","AT&T INC","Aktien","0,46","28,32","110.519","3.129.898","3.129.898,08","Kommunikation","US00206R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BAC","BANK OF AMERICA CORP","Aktien","0,45","25,36","121.757","3.087.758","3.087.757,52","Financials","US0605051046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ABT","ABBOTT LABORATORIES","Aktien","0,44","109,65","27.348","2.998.708","2.998.708,20","Gesundheitsversorgung","US0028241000","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PEP","PEPSICO INC","Aktien","0,43","138,44","21.440","2.968.154","2.968.153,60","Nichtzyklische Konsumgüter","US7134481081","NASDAQ","Vereinigte Staaten","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Aktien","0,42","464,70","6.176","2.869.987","2.869.987,20","Gesundheitsversorgung","US8835561023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MCD","MCDONALDS CORP","Aktien","0,38","224,83","11.665","2.622.642","2.622.641,95","Zyklische Konsumgüter ","US5801351017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
