Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Kupon,Fälligkeit,Börse,Standort,Marktwährung,Duration
"FRTR","FRANCE (REPUBLIC OF) RegS","Anleihen","7,50","109,37","4.990.000","5.471.810","5.471.809,79","Schuldverschreibungen","FR0013286192","0,75","25.Mai.2028","-","Frankreich","EUR","7,46"
"FRTR","FRANCE (REPUBLIC OF) RegS","Anleihen","7,15","109,76","4.727.000","5.219.208","5.219.207,79","Schuldverschreibungen","FR0013341682","0,75","25.Nov.2028","-","Frankreich","EUR","7,91"
"FRTR","FRANCE (REPUBLIC OF) RegS","Anleihen","6,24","103,26","4.411.000","4.554.975","4.554.975,04","Schuldverschreibungen","FR0013451507","0,00","25.Nov.2029","-","Frankreich","EUR","9,16"
"FRTR","FRANCE (REPUBLIC OF) RegS","Anleihen","5,82","107,87","3.929.000","4.245.625","4.245.625,19","Schuldverschreibungen","FR0013407236","0,50","25.Mai.2029","-","Frankreich","EUR","8,48"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","4,76","107,54","3.227.000","3.475.637","3.475.636,65","Schuldverschreibungen","DE0001102465","0,25","15.Feb.2029","-","Deutschland","EUR","8,29"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","4,45","105,44","3.077.000","3.244.266","3.244.265,72","Schuldverschreibungen","DE0001102473","0,00","15.Aug.2029","-","Deutschland","EUR","8,88"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","4,31","107,26","2.931.000","3.144.953","3.144.953,36","Schuldverschreibungen","DE0001102457","0,25","15.Aug.2028","-","Deutschland","EUR","7,81"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","4,13","105,44","2.861.000","3.016.696","3.016.695,62","Schuldverschreibungen","DE0001102499","0,00","15.Feb.2030","-","Deutschland","EUR","9,38"
"BTPS","ITALY (REPUBLIC OF) RegS","Anleihen","4,04","120,88","2.430.000","2.951.028","2.951.028,45","Schuldverschreibungen","IT0005365165","3,00","01.Aug.2029","-","Italien","EUR","7,90"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","3,99","108,86","2.669.000","2.914.195","2.914.194,90","Schuldverschreibungen","DE0001102440","0,50","15.Feb.2028","-","Deutschland","EUR","7,25"
"BTPS","ITALY (REPUBLIC OF) RegS","Anleihen","3,87","111,28","2.526.000","2.820.355","2.820.354,78","Schuldverschreibungen","IT0005323032","2,00","01.Feb.2028","-","Italien","EUR","6,87"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,85","111,01","2.502.000","2.811.569","2.811.568,50","Schuldverschreibungen","ES0000012A89","1,45","31.Okt.2027","-","Spanien","EUR","6,72"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","3,75","105,43","2.598.000","2.739.175","2.739.175,32","Schuldverschreibungen","DE0001102507","0,00","15.Aug.2030","-","Deutschland","EUR","9,88"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,75","111,13","2.448.000","2.735.722","2.735.722,49","Schuldverschreibungen","ES0000012B39","1,40","30.Apr.2028","-","Spanien","EUR","7,23"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,75","112,17","2.424.000","2.734.649","2.734.649,21","Schuldverschreibungen","ES0000012E51","1,45","30.Apr.2029","-","Spanien","EUR","8,12"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,69","111,36","2.411.000","2.691.504","2.691.503,67","Schuldverschreibungen","ES0000012B88","1,40","30.Jul.2028","-","Spanien","EUR","7,48"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,68","104,91","2.544.000","2.683.257","2.683.256,89","Schuldverschreibungen","ES0000012F43","0,60","31.Okt.2029","-","Spanien","EUR","8,83"
"BTPS","ITALY (REPUBLIC OF) RegS","Anleihen","3,68","118,24","2.250.000","2.682.687","2.682.687,15","Schuldverschreibungen","IT0005340929","2,80","01.Dez.2028","-","Italien","EUR","7,38"
"BTPS","ITALY (REPUBLIC OF) RegS","Anleihen","3,63","106,64","2.482.000","2.647.516","2.647.516,39","Schuldverschreibungen","IT0005383309","1,35","01.Apr.2030","-","Italien","EUR","8,97"
"SPGB","SPAIN (KINGDOM OF)","Anleihen","3,32","103,80","2.326.000","2.419.573","2.419.573,07","Schuldverschreibungen","ES0000012F76","0,50","30.Apr.2030","-","Spanien","EUR","9,37"
"BTPS","ITALY (REPUBLIC OF) RegS","Anleihen","2,69","102,70","1.909.000","1.963.924","1.963.924,41","Schuldverschreibungen","IT0005403396","0,95","01.Aug.2030","-","Italien","EUR","9,41"
"NETHER","NETHERLANDS (KINGDOM OF)","Anleihen","2,43","104,41","1.700.000","1.774.936","1.774.936,00","Schuldverschreibungen","NL0014555419","0,00","15.Jul.2030","-","Niederlande","EUR","9,79"
"NETHER","NETHERLANDS (KINGDOM OF)","Anleihen","2,31","110,35","1.526.000","1.686.668","1.686.668,15","Schuldverschreibungen","NL0012818504","0,75","15.Jul.2028","-","Niederlande","EUR","7,60"
"NETHER","NETHERLANDS (KINGDOM OF)","Anleihen","2,04","106,74","1.396.000","1.490.899","1.490.898,74","Schuldverschreibungen","NL0013332430","0,25","15.Jul.2029","-","Niederlande","EUR","8,71"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Anleihen","1,07","105,66","740.000","781.906","781.906,20","Schuldverschreibungen","DE0001030708","0,00","15.Aug.2030","-","Deutschland","EUR","9,88"
"ICSEALD","BLK LEAF FUND AGENCY ACC T0 EUR","Money Market","0,05","99,22","365","36.237","36.236,67","Cash und/oder Derivate","IE00B9346255","0,00","-","-","Irland","EUR","0,11"
"EUR","EUR CASH","Geldmarkt","0,04","100,00","28.465","28.465","28.464,63","Cash und/oder Derivate","-","0,00","-","-","Europäische Union","EUR","0,00"
 
